percentile,signup_duration,words,code_lines,urls,images,readability,reputation,session_length,answer_position_in_session,number_of_ans_wrote_by_user_before_this,time_since_previous_answer
0.032007,0.032007,0.00738963,0.0156516,0.00272625,0,0,0.0278072,0,0,0.0239448,0.00156055
0,0,0.00728544,0.00983923,0.0030085,0,0,0.00566676,0,0,0.00619533,0.0012506
0,0,0.00817615,0,0.00563148,0,0,0.00403005,0,0,0.00478221,0.00110561
0,0,0,0,0.00391512,0,0,0.00289245,0,0,0.00371377,0
0,0,0,0,0,0,0,0.00218971,0.00103168,0,0.0038677,0
