,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,fold_index
0,0.0,0.0,0.0,0.0,-0.40176711251693864,-0.44251637847208747,-0.148186110165058,-0.20926296860322563,-0.15157095459839662,0.0,0.0,0.0,-0.07872559490809379,-0.10727677776092746,-0.07069039690739118,-0.07155425416149092,-0.03358823064396077,-0.03415449918708312,-0.13279723295533896,-0.06678636356294816,-0.03480223137397902,-0.04693047380886419,-0.08000311901615476,-0.11510968082669405,-0.09522748309634455,-0.0565074888966798,-0.03138500362295206,-0.022808208639195235,-0.014182894995912926,-0.03853122347924534,-0.04924441644139899,-0.022195751467963265,-0.014924708739462821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,-0.4083244586772116,-0.4716330978929593,-0.17610780006495094,-0.17072087925536134,-0.20714671130742576,0.0,0.0,0.0,-0.0788096728749366,-0.09465689266503265,-0.07213836112521274,-0.0759989616126664,-0.03175862065297637,-0.015721370395847704,-0.11224287104588346,-0.045319061627914936,-0.02530765196273243,-0.03118478846030083,-0.07546088755256437,-0.10938575410191881,-0.08290642768011253,-0.03553849656413858,-0.04189716940401871,-0.05124407574346997,-0.04315257178421073,-0.02857180398229792,-0.032460772582695085,-0.006425619738236967,0.002631470507774631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0,-0.3724566906899792,-0.45302695379256935,-0.09817073159838854,-0.1636697738803584,-0.19491985007077445,0.0,0.0,0.0,-0.0817781158396515,-0.12092570637691358,-0.09750693150210003,-0.0921938097323965,-0.04927291182812307,-0.039380419698387764,-0.1257903256659966,-0.06498510265180442,-0.04326548840320992,-0.05284945111365128,-0.10514785260713709,-0.12862737923286152,-0.12034250892020773,-0.06906530863791996,-0.0560280841743532,-0.061019734237210285,-0.03803463447285805,-0.036872023500459115,-0.03612775028024248,-0.01018668430538032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3,0.0,0.0,0.0,0.0,-0.40565073183496864,-0.4460038608913272,-0.09074456021343813,-0.23272263099875282,-0.162065405444192,0.0,0.0,0.0,-0.07128898547455427,-0.09293842538870908,-0.06641975827411206,-0.06558371477847855,-0.03195723283397885,-0.025131606193807762,-0.1290692197092195,-0.07129345796601025,-0.04911566021021254,-0.0645221666718604,-0.1142756392833837,-0.1318780073369953,-0.13085470511344385,-0.07148249282892559,-0.042315490244065536,-0.01762724278944361,0.0,-0.021447992622276178,-0.030620441587585978,-0.009626640703565887,-0.010671205904043092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4,0.0,0.0,0.0,0.0,-0.38757706839567924,-0.4071848691971699,-0.16330820651831515,-0.24348621487483973,-0.19095472870611532,0.0,0.0,0.0,-0.08963963323949418,-0.11294557947196975,-0.08510834861430598,-0.07881183295821009,-0.056714277695537364,-0.05201369261554875,-0.15135152210490604,-0.0802644177307284,-0.0714613132981555,-0.06405387980703811,-0.09120194713856647,-0.11190329221509518,-0.08222896438531116,-0.0327200752551662,-0.01916201562415967,-0.012522890876000245,0.006342221204683466,-0.016842712154197945,-0.0174874075533059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
