,best_params,fold_index,mae,mae_median,mse,r2
0,{'C': 0.5},0,-0.3179324403048584,-0.23640998942133418,-0.19625566582187787,0.7994223759164899
1,{'C': 1},1,-0.30543249455173677,-0.23311215118962694,-0.17516211006614293,0.8201050341539495
2,{'C': 1},2,-0.3170236674176046,-0.23867481798617607,-0.1875262175055631,0.8174181989468668
3,{'C': 0.5},3,-0.31641985823773605,-0.23559535794704667,-0.1922127565269885,0.8096060259702897
4,{'C': 0.1},4,-0.32079530541713064,-0.23913249852238336,-0.19156662257193288,0.8105711928346977
