,NCD_0,NCD_1,NCD_2,NCD_3,NCD_4,NCD_5,NCD_6,NCD_7,BL_0,BL_1,BL_2,BL_3,BL_4,BL_5,BL_6,BL_7,NAD_0,NAD_1,NAD_2,NAD_3,NAD_4,NAD_5,NAD_6,NAD_7,AI_0,AI_1,AI_2,AI_3,AI_4,AI_5,AI_6,AI_7,NAC_0,NAC_1,NAC_2,NAC_3,NAC_4,NAC_5,NAC_6,NAC_7,ND_0,ND_1,ND_2,ND_3,ND_4,ND_5,ND_6,ND_7,CS_0,CS_1,CS_2,CS_3,CS_4,CS_5,CS_6,CS_7,AT_0,AT_1,AT_2,AT_3,AT_4,AT_5,AT_6,AT_7,NA_0,NA_1,NA_2,NA_3,NA_4,NA_5,NA_6,NA_7,ADL_0,ADL_1,ADL_2,ADL_3,ADL_4,ADL_5,ADL_6,ADL_7,AS_NA_0,AS_NA_1,AS_NA_2,AS_NA_3,AS_NA_4,AS_NA_5,AS_NA_6,AS_NA_7,AS_NAC_0,AS_NAC_1,AS_NAC_2,AS_NAC_3,AS_NAC_4,AS_NAC_5,AS_NAC_6,AS_NAC_7,fold_index
0,1.951804753983847e-06,2.542402050523285e-06,4.0574742956397455e-06,4.512123459788134e-06,7.22232192439582e-06,6.406409139244039e-06,6.925285319049648e-06,6.813373526014716e-06,1.3497562383855859e-05,1.095679862249684e-05,8.962641923401472e-06,1.553063045681058e-05,1.494176750423995e-05,1.4838518670195156e-05,2.0263879454123654e-05,1.6576711172004362e-05,4.8925589584578585e-06,2.8864176520725485e-06,4.802261806670671e-06,2.016609654696459e-05,1.1256043974669011e-05,6.390511589006895e-06,7.435682586655468e-06,6.7825613268481355e-06,9.67548357947342e-06,6.724804184556778e-06,8.906860070121927e-06,1.9884668693113263e-05,2.2098055332998387e-05,2.3670904673944517e-05,2.0575543761678783e-05,2.014992068846661e-05,2.1208588401933633e-05,1.633163500766989e-05,2.2502007598316195e-05,2.1966704572378488e-05,4.289212616834436e-05,3.276149923099616e-05,4.140608538575896e-05,7.251241821208149e-05,0.0015547396865303786,0.003570613684103258,0.0014460945202187175,0.0010843975569331673,0.0013468716737413055,0.0016712901071322924,0.007253169970161202,0.9795669125144224,3.336454004684235e-05,3.038345956726497e-05,3.272312547381354e-05,5.604091808976438e-05,5.839892478021429e-05,5.841401434131316e-05,6.803611864126009e-05,6.873303592069229e-05,2.121796148417978e-05,2.0254535313121148e-05,2.7456300117319477e-05,3.428326511435819e-05,7.364511236455835e-05,6.584467703678918e-05,6.828988082867498e-05,5.181453938985261e-05,5.709185834537561e-06,6.472032172005004e-06,7.903678876367682e-06,1.2949339581877486e-05,1.734846826534803e-05,1.3708571333644349e-05,2.000583640169429e-05,1.743192254037238e-05,2.757637680272994e-05,2.540878948508518e-05,3.414244161883589e-05,3.520824171272014e-05,4.161437062135366e-05,4.709502823943286e-05,6.0084293803096465e-05,9.490961414195812e-05,2.9790383661088956e-05,2.8029675594956107e-05,2.070803217264391e-05,3.7355407354513515e-05,5.6989630533317906e-05,3.2805528824614946e-05,6.551184668689272e-05,5.12081683932386e-05,2.1557518048720614e-05,1.9777336797458558e-05,2.9952077119890986e-05,2.801919579828087e-05,4.8298643700454495e-05,3.1194100947518634e-05,4.946967255211426e-05,9.489532397196876e-05,0.0
1,3.453765635827876e-06,2.3495147177298765e-06,4.291238535659582e-06,4.074504468972692e-06,5.441031453010056e-06,6.7338095805570405e-06,6.466922547574022e-06,8.281803950274616e-06,8.184628376586987e-06,8.490390086601672e-06,1.0011043731149218e-05,1.6303577501114085e-05,1.3937756198486593e-05,1.355190425799105e-05,2.097062734116042e-05,2.0944137871939835e-05,4.299533511561913e-06,5.039941974059123e-06,4.171404181794085e-06,2.1589281619577897e-05,1.07727675153292e-05,1.3190707234433962e-05,1.557768694490983e-05,9.110305656806918e-06,9.14301988416358e-06,5.8176364460492925e-06,1.0106162916928315e-05,2.3987610458368272e-05,2.7264243102435282e-05,2.1432614330945195e-05,3.263901038215762e-05,2.4993367992520407e-05,1.927883015969275e-05,1.4772229076904188e-05,2.0193648955273215e-05,3.1828131671371615e-05,4.9905094055975327e-05,3.3319708768658026e-05,4.7208405532374885e-05,8.630099604098812e-05,0.0024388323157441515,0.0025749618185295265,0.001277653833898749,0.0010586912611320355,0.0012836387847394548,0.0017747211475139934,0.006695373929596419,0.9801437545957706,3.04283212333522e-05,5.7141751248486326e-05,4.5603977761593374e-05,4.806408301479663e-05,4.969011420508781e-05,6.46498637146552e-05,8.054352468022227e-05,9.133827553997914e-05,2.3463844767267266e-05,3.7398825826050816e-05,2.6686646331041877e-05,4.181849241641765e-05,7.039155926548524e-05,7.982329927803922e-05,6.71981101989742e-05,4.830325201064343e-05,7.738689321289511e-06,8.96761113810232e-06,6.3674230491336934e-06,1.1271489819466994e-05,1.566498961578788e-05,2.023552190918686e-05,2.5265940592468587e-05,2.3798678084193784e-05,2.5028404325829028e-05,2.561255790984418e-05,3.638348710742667e-05,3.640764676540273e-05,5.334813429189699e-05,4.4265168300081415e-05,6.657941066601588e-05,0.00010380931866901814,2.9416925209720738e-05,2.4652446530153792e-05,2.2373389986928158e-05,4.649891389623536e-05,4.445959376837447e-05,4.041173580551259e-05,5.4131181817243546e-05,5.627552333007271e-05,2.395203587490303e-05,3.102725889893392e-05,2.879860558299373e-05,3.730630478356428e-05,5.020489179428712e-05,3.259694011392741e-05,5.290746062967098e-05,0.00010864169732747005,1.0
2,2.9243666515788697e-06,2.5501389122292737e-06,5.529086057548986e-06,3.168221071348167e-06,1.030590582590437e-05,6.391072542048586e-06,8.561731989777993e-06,1.0939288586428918e-05,3.561834104678496e-05,8.826153340864652e-06,1.1046407517439474e-05,1.5054698351637894e-05,1.545264133601022e-05,1.78568564800292e-05,2.092965861812836e-05,2.327132326032873e-05,3.142481429801255e-06,5.315339866377943e-06,7.304333307857273e-06,7.98695182893546e-06,5.8917615464471895e-06,1.0620731120156167e-05,6.9328434638672785e-06,1.165428716633411e-05,9.247094901535127e-06,7.505880314969469e-06,7.627947150066054e-06,2.0403546503764258e-05,2.4425744945935292e-05,2.0924737006022548e-05,2.0992445428971727e-05,2.88632312037177e-05,2.1546048699360022e-05,1.5970880941654424e-05,2.002242637640146e-05,2.893055069366051e-05,4.0469864415295394e-05,3.7988985850600214e-05,4.510367618920626e-05,7.032794900003968e-05,0.001845515682253262,0.0029629191886812495,0.0014947513267218058,0.0010692241933263342,0.0014402830824706639,0.0017974415292656262,0.008063206162766694,0.9786746937144092,2.404247405073721e-05,3.7375497458967953e-05,4.1125571972948446e-05,4.573998611772192e-05,5.873505079015299e-05,6.44148436340124e-05,6.925197329030064e-05,7.453493009683203e-05,1.885852364563897e-05,2.437489173089497e-05,2.5473774406762208e-05,3.648233929310064e-05,6.118445297636242e-05,7.607490432719633e-05,9.434941462939999e-05,5.294105156891646e-05,6.053921814901757e-06,1.0450047529267534e-05,6.622193523742963e-06,1.2459842738276218e-05,1.839249850935611e-05,1.4576354551199988e-05,3.1488151368055515e-05,2.2024409791110446e-05,2.713326546601402e-05,2.699328587871571e-05,3.530054907594666e-05,3.546165998138059e-05,5.063366818003261e-05,4.093387623162394e-05,5.6374019381853936e-05,7.834222842114199e-05,3.221612036180681e-05,3.0063724230944794e-05,2.0729025252357603e-05,3.202552930564964e-05,4.887257620959951e-05,4.2595019975554605e-05,5.042688386611602e-05,7.490155757644406e-05,2.4662924043902117e-05,3.571319900889592e-05,3.694299263338028e-05,3.2866536862223886e-05,3.940576455204099e-05,3.924263814197076e-05,4.1772059807645116e-05,0.00011370328490507302,2.0
3,2.9567022615700253e-06,2.6365379843561657e-06,4.141323424596607e-06,2.5471708648907e-06,5.87862618289643e-06,4.342800758149116e-06,8.241468273707495e-06,1.4806587687433122e-05,1.5780905236404633e-05,1.0128285282303801e-05,9.966220365389457e-06,1.574699227813831e-05,1.2501196984144453e-05,1.6380317100094937e-05,1.679841909125162e-05,2.7639521345991752e-05,5.107027644842704e-06,4.775145065136048e-06,7.721987341782749e-06,7.96788844701672e-06,7.881458483246705e-06,8.312763759495485e-06,9.702913144549017e-06,1.3556619090583769e-05,9.475270094273768e-06,7.550963432350314e-06,1.2809119185522327e-05,2.1301929444150087e-05,2.1193999785352968e-05,1.799726557645755e-05,1.4543401782237154e-05,2.3530786440938722e-05,2.603576221837831e-05,1.3628806954650196e-05,2.1708780269560067e-05,2.509450680443806e-05,3.357626845932273e-05,2.9058956232734107e-05,3.8934470694128636e-05,8.054224230215809e-05,0.001917696040545179,0.002763386638457951,0.0014357455391942433,0.0011715572709839214,0.0013842208257511248,0.00166831587078228,0.006584477530053285,0.9804866097875992,3.07036399204118e-05,3.453082808986317e-05,4.2920670665216914e-05,4.128053925618634e-05,5.416171808889994e-05,6.0872237729582936e-05,8.21658777011642e-05,6.729915353532297e-05,2.5595955307551175e-05,3.911376334234936e-05,2.3069043910893292e-05,2.805216418308029e-05,8.551095506550003e-05,6.541699121837967e-05,7.22726368982206e-05,5.4608762215168094e-05,8.547628058228356e-06,9.182278989236404e-06,8.20517336468479e-06,1.740189583772984e-05,1.5369528137768705e-05,1.666111725607154e-05,1.956634575259615e-05,2.6444811820059347e-05,2.7916738650146712e-05,2.726276755969093e-05,4.54732069030999e-05,3.284430208927449e-05,6.384978850289017e-05,4.19067157707696e-05,5.1070941500943055e-05,9.092500271064113e-05,3.0157681349703213e-05,2.7247443883671415e-05,2.3629277980656933e-05,3.610791197518494e-05,4.243305127368756e-05,3.901764684475368e-05,4.9134040421452014e-05,6.167604569065074e-05,2.636246830474307e-05,1.886057673634977e-05,2.891263274229611e-05,2.6344422465271883e-05,3.7252622255299115e-05,3.366897722405203e-05,5.614094404624141e-05,0.00010834016563260783,3.0
4,7.687423318965598e-06,2.5444506888362564e-06,3.1252680226218338e-06,3.2358869501219724e-06,6.7178995577104434e-06,4.914660249638919e-06,7.1057658162872326e-06,6.736082716413865e-06,4.679139619796539e-05,1.1919554003049404e-05,1.0154021291374444e-05,1.606925611585109e-05,1.4990664516404902e-05,1.627340939084123e-05,1.897204692810051e-05,1.8450686885747575e-05,6.476999036952848e-06,5.510266341957026e-06,3.3913423013414996e-06,1.3553439317382813e-05,8.865198566442163e-06,8.748371770649503e-06,7.307960213000116e-06,9.903517819927367e-06,1.066748250290752e-05,7.827173734371344e-06,1.1448367601225487e-05,2.6569289041863055e-05,3.438012982403702e-05,2.1564238380487417e-05,2.6579512685418984e-05,3.3792358052537995e-05,2.074743369101808e-05,1.7400420259643352e-05,2.120701122898402e-05,3.370878018605134e-05,3.558535102012184e-05,3.135491268475622e-05,3.798925933238885e-05,6.591264057771719e-05,0.002036738190300725,0.002948825050796833,0.0014878624833856637,0.0012472458482498052,0.0012622716662206246,0.0017988426137645038,0.007613214060591942,0.9789403577527542,3.2769859145913515e-05,3.3309113111434006e-05,4.827806825587007e-05,4.746605133951817e-05,5.0843586774982506e-05,6.013407580608403e-05,7.297719739244346e-05,6.686005226538093e-05,2.4727454353826486e-05,2.6488464640208593e-05,3.3529986835166254e-05,3.9798193221730703e-05,6.171860064944414e-05,7.652108786615166e-05,7.540182911337239e-05,7.108117595432451e-05,7.629132871989595e-06,1.6260453523673284e-05,1.2253575040024062e-05,1.9279557865787653e-05,1.4261828620750321e-05,1.5526683846637215e-05,2.3418686557607883e-05,2.3196377474643387e-05,2.9060927228081435e-05,2.8494231161181358e-05,3.5853764480961124e-05,3.737736554868487e-05,4.440851581237123e-05,4.853319312515767e-05,5.7046284238503945e-05,8.67888936345461e-05,3.66961225006596e-05,2.915903334137379e-05,2.5077328910038546e-05,3.622752721639016e-05,3.0237958816141645e-05,3.880381330422807e-05,4.524773424149785e-05,5.976711215180784e-05,2.2428737107288268e-05,1.9247224149381575e-05,3.322760498338108e-05,3.106513784955539e-05,4.0368617001968496e-05,4.046763107987278e-05,4.559169483842036e-05,0.00011355485986627878,4.0
