,best_params,fold_index,mae,mae_median,mse,r2
0,"{'bootstrap': True, 'criterion': 'mse', 'min_samples_leaf': 2}",0,-0.08926619992617747,-0.05707731087795753,-0.01732845406429694,0.9833216455134977
1,"{'bootstrap': True, 'criterion': 'mse', 'min_samples_leaf': 1}",1,-0.11002148561632019,-0.06524719088152064,-0.03663088049312615,0.9719985893452742
2,"{'bootstrap': True, 'criterion': 'mse', 'min_samples_leaf': 1}",2,-0.09104346439020301,-0.07027477186365452,-0.01537822981446099,0.9792218894815199
3,"{'bootstrap': True, 'criterion': 'mse', 'min_samples_leaf': 1}",3,-0.10492778239430778,-0.08925277510072349,-0.019266414970044086,0.9836557083530737
4,"{'bootstrap': True, 'criterion': 'mse', 'min_samples_leaf': 1}",4,-0.09705824190588826,-0.06944165025340708,-0.019461664295746976,0.974366699415038
