,best_params,fold_index,mae,mae_median,mse,r2
0,{'alpha': 0.0155},0,-0.3695354879700587,-0.24997964096619332,-0.3100124135740188,0.7390508074838517
1,{'alpha': 0.00825},1,-0.3940789617547083,-0.2493656021725456,-0.37689702742454667,0.6336405663332303
2,{'alpha': 0.00825},2,-0.3531852265821796,-0.26708565207541457,-0.2246232892888543,0.7615961932901485
3,{'alpha': 0.00825},3,-0.32567764127263543,-0.24880300641936115,-0.21815472697525276,0.7281235233670482
4,{'alpha': 0.00825},4,-0.4003929928702933,-0.33577314809627823,-0.30269282584083107,0.7078800062818171
