,Lymph_node,fold_index,radius_mean,texture_mean
0,0.8,0.0,,
1,0.9,1.0,,
2,0.06507936507936514,2.0,0.48784126984126963,0.32707936507936514
3,0.6880793650793653,3.0,0.2919206349206346,
4,0.3895714285714286,4.0,0.29723809523809525,0.17319047619047598
