,best_params,fold_index,mae,mae_median,mse,r2
0,{'alpha': 0.03},0,-0.7618359638539411,-0.6847501709399688,-0.8753222279041527,0.0899965770175225
1,{'alpha': 0.03},1,-0.7717010129765147,-0.6844872825835715,-0.9061006040492935,0.07190102467342019
2,{'alpha': 0.03},2,-0.796903248423543,-0.716417659997215,-0.9284996855518102,0.07434050321961827
3,{'alpha': 0.02275},3,-0.791872342565857,-0.6883779090143977,-0.9409313674464578,0.06906824884832896
4,{'alpha': 0.03},4,-0.8060730536742365,-0.7038226987383964,-0.9719854993696845,0.06518493751806764
