,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,fold_index
0,0.0,0.0,0.0,0.0,-0.5392256607803929,-0.5268959729929,-0.2973882481524311,-0.22136154159927038,-0.179297982412667,0.0,0.0,0.0,-0.025426702834513874,-0.032807106953647254,0.0,0.0,0.03631957177404106,0.03891160298303448,-0.06790624411003568,-0.022635341858485373,0.0,0.01874297246852332,-0.0036602825453583322,-0.05087402057714598,-0.0213695493808998,-0.004989739829376448,0.0,0.0,-0.007686258164341944,-0.029989330525222638,-0.03587824441924254,-0.004068880363599909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,-0.5432897353671202,-0.524061946721026,-0.27490612537660347,-0.24705672767493791,-0.19779044564140313,0.0,0.0,0.0,-0.02590700403366774,-0.022310051440416864,0.0,0.0,0.03816346611769865,0.048338993826538154,-0.05995436628003273,-0.012845951094172128,0.0,0.01136260294441232,-0.024874331472110555,-0.06513447732218025,-0.035401120853396736,0.0,0.0,0.0,0.0,-0.011525970726795459,-0.02352361095727985,-0.0006026649741145231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0,-0.5467500296606361,-0.5271012101793782,-0.28579118535926307,-0.24181792039915306,-0.19661450639218825,0.0,0.0,0.0,-0.014920042897078645,-0.027567920620450072,-0.0018270273034351801,0.0,0.039660305637186755,0.044888565345888455,-0.05670236137023254,-0.02149059551295928,0.0,0.017507301545560412,-0.01638546777650723,-0.05073107614332965,-0.02860145119096664,0.0,0.0,0.0,0.0,-0.014979708059784115,-0.020596525142619972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3,0.0,0.0,0.0,0.0,-0.5421826084933536,-0.5307423858916843,-0.279040146448155,-0.23174809061307694,-0.1834709910439248,0.0,0.0,0.0,-0.019056403397822594,-0.020236471627679335,0.0,0.0,0.03886507626012898,0.04695802538679973,-0.06456095401032162,-0.02711038773087713,0.0,0.010154772141641745,-0.021773557540575212,-0.05134046270332269,-0.03895780072804059,-0.010672296728638874,0.0,0.0,0.0,-0.01690623757703004,-0.021415105087954918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4,0.0,0.0,0.0,0.0,-0.5462374615667122,-0.496542101134748,-0.28772433590180124,-0.23577635144677467,-0.18885497284063738,0.0,0.0,0.0,-0.028983073546491992,-0.03019534976704669,-0.0015460108572760598,0.0,0.02398270420529227,0.030289374575128595,-0.08008946431172909,-0.03204681395188511,-0.023103461167162224,0.0,-0.022686353706037977,-0.05643242588229556,-0.02022163430492375,0.0,0.0032260444303659867,0.0,0.0,-0.017819217047971295,-0.019034649513200597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
