,best_params,fold_index,mae,mae_median,mse,r2
0,"{'alpha': 0.03, 'l1_ratio': 0.02275}",0,-0.2311017137178184,-0.16134003370619654,-0.09958667388992792,0.9041494501987868
1,"{'alpha': 0.03, 'l1_ratio': 0.03}",1,-0.2480939890847895,-0.2063977640446408,-0.10509506498283083,0.9196631357818013
2,"{'alpha': 0.03, 'l1_ratio': 0.03}",2,-0.2156741331306215,-0.1688022315495747,-0.08160574683316972,0.8897393752661812
3,"{'alpha': 0.03, 'l1_ratio': 0.001}",3,-0.2366165726657223,-0.19980186704361835,-0.08792905230861629,0.9254070839123749
4,"{'alpha': 0.03, 'l1_ratio': 0.03}",4,-0.2179264146584118,-0.1526305008399678,-0.08837867080072118,0.8835948971522763
