,Jitter(%),Jitter(Abs),Jitter:RAP,Jitter:PPQ5,Jitter:DDP,Shimmer,Shimmer(dB),Shimmer:APQ3,Shimmer:APQ5,Shimmer:APQ11,Shimmer:DDA,NHR,HNR,RPDE,DFA,PPE,fold_index
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0759239022021487,-0.08158190071360787,0.045356574043462355,-0.16288719517941724,0.14878942946739498,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07685284213330149,-0.11196463105289285,0.05087758856823928,-0.18019373201589373,0.12564647367854279,1.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09262983240050522,-0.09938082548527045,0.046416101112420026,-0.17231774076249673,0.13589809325426314,2.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12427328105972413,-0.14094634487817373,0.040909469268579905,-0.20692080023540563,0.1558538479534205,3.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07960524164725087,-0.10502871340955525,0.061443765564797095,-0.18367086036018385,0.12250766818335825,4.0
