,CRIM,ZN,INDUS,CHAS,NOX,fold_index
0,0.32472311451706853,0.49594819627662395,0.07805954110561941,0.03743275857719589,0.0638363895234925,0.0
1,0.28912462600471056,0.3982729552585637,0.17075548018293948,0.14184693855378633,,1.0
2,0.3081495406089317,0.06825061660857484,0.6235998427824935,,,2.0
3,0.98,,,,,3.0
4,0.767614417719909,0.04025490291640487,0.010947274302354554,0.18118340506133138,,4.0
