split_version,lambda_,num_features,best_value,metric
0,2.9999999999999997e-05,3,0.9327982896447055,auc_macro
1,2.9999999999999997e-05,3,0.928762270637587,auc_macro
2,2.9999999999999997e-05,3,0.9269641420638919,auc_macro
3,2.9999999999999997e-05,3,0.932974269290144,auc_macro
4,2.9999999999999997e-05,3,0.9334472931860209,auc_macro
