clf_name,data_name,fold_index,train_time
s3d,triazines,0,50.678261280059814
s3d,triazines,0,46.75432562828064
s3d,triazines,0,45.758851051330566
s3d,triazines,0,45.19160604476929
s3d,triazines,0,44.55589723587036
s3d,triazines,0,44.966331243515015
s3d,triazines,0,45.570127725601196
s3d,triazines,0,45.453293561935425
s3d,triazines,0,45.49550700187683
s3d,triazines,0,45.553752183914185
s3d,triazines,1,82.64643597602844
s3d,triazines,1,82.49863982200623
s3d,triazines,1,82.37991857528687
s3d,triazines,1,80.60175013542175
s3d,triazines,1,82.71166181564331
s3d,triazines,1,80.69418478012085
s3d,triazines,1,81.1853895187378
s3d,triazines,1,81.87970089912415
s3d,triazines,1,81.50058579444885
s3d,triazines,1,81.3663649559021
s3d,triazines,2,60.10077238082886
s3d,triazines,2,61.20657229423523
s3d,triazines,2,59.270763874053955
s3d,triazines,2,59.11317443847656
s3d,triazines,2,59.83076190948486
s3d,triazines,2,59.24395966529846
s3d,triazines,2,59.54457426071167
s3d,triazines,2,60.71913242340088
s3d,triazines,2,59.46087098121643
s3d,triazines,2,59.21785569190979
s3d,triazines,3,47.385536909103394
s3d,triazines,3,44.849008083343506
s3d,triazines,3,56.476372480392456
s3d,triazines,3,56.890403747558594
s3d,triazines,3,54.640679597854614
s3d,triazines,3,55.61794686317444
s3d,triazines,3,55.22098350524902
s3d,triazines,3,75.85725665092468
s3d,triazines,3,54.438456773757935
s3d,triazines,3,54.46261954307556
s3d,triazines,4,168.42877292633057
s3d,triazines,4,168.01212644577026
s3d,triazines,4,135.68785333633423
s3d,triazines,4,133.57965874671936
s3d,triazines,4,170.65969276428223
s3d,triazines,4,166.40904545783997
s3d,triazines,4,168.11655855178833
s3d,triazines,4,167.1680359840393
s3d,triazines,4,135.44837188720703
s3d,triazines,4,166.38957595825195
linearsvr,triazines,0,0.047521114349365234
linearsvr,triazines,0,0.046509742736816406
linearsvr,triazines,0,0.037903547286987305
linearsvr,triazines,0,0.023261308670043945
