clf_name,data_name,fold_index,train_time
s3d,duolingo_cleaned,0,338.03852796554565
s3d,duolingo_cleaned,0,343.4638993740082
s3d,duolingo_cleaned,0,336.7956955432892
s3d,duolingo_cleaned,0,340.28102850914
s3d,duolingo_cleaned,0,338.4056890010834
s3d,duolingo_cleaned,0,339.99620628356934
s3d,duolingo_cleaned,0,337.7006220817566
s3d,duolingo_cleaned,0,340.0137484073639
s3d,duolingo_cleaned,0,365.4049165248871
s3d,duolingo_cleaned,0,366.32415318489075
s3d,duolingo_cleaned,1,346.62313532829285
s3d,duolingo_cleaned,1,338.03100967407227
s3d,duolingo_cleaned,1,341.8225829601288
s3d,duolingo_cleaned,1,342.2671504020691
s3d,duolingo_cleaned,1,337.8035502433777
s3d,duolingo_cleaned,1,341.6179749965668
s3d,duolingo_cleaned,1,343.9753522872925
s3d,duolingo_cleaned,1,341.18294763565063
s3d,duolingo_cleaned,1,342.7510755062103
s3d,duolingo_cleaned,1,360.51082253456116
s3d,duolingo_cleaned,2,354.09556770324707
s3d,duolingo_cleaned,2,354.7117681503296
s3d,duolingo_cleaned,2,357.84872174263
s3d,duolingo_cleaned,2,386.27866768836975
s3d,duolingo_cleaned,2,414.51304960250854
s3d,duolingo_cleaned,2,394.9248764514923
s3d,duolingo_cleaned,2,372.60693407058716
s3d,duolingo_cleaned,2,375.64870142936707
s3d,duolingo_cleaned,2,367.66135907173157
s3d,duolingo_cleaned,2,380.24321031570435
s3d,duolingo_cleaned,3,340.0405623912811
s3d,duolingo_cleaned,3,360.2016005516052
s3d,duolingo_cleaned,3,365.4666938781738
s3d,duolingo_cleaned,3,385.12439131736755
s3d,duolingo_cleaned,3,353.4950067996979
s3d,duolingo_cleaned,3,359.79600048065186
s3d,duolingo_cleaned,3,389.29428458213806
s3d,duolingo_cleaned,3,379.2358055114746
s3d,duolingo_cleaned,3,374.2996315956116
s3d,duolingo_cleaned,3,352.78261280059814
s3d,duolingo_cleaned,4,345.5136682987213
s3d,duolingo_cleaned,4,353.3100254535675
s3d,duolingo_cleaned,4,334.11774611473083
s3d,duolingo_cleaned,4,329.6364703178406
s3d,duolingo_cleaned,4,334.20555996894836
s3d,duolingo_cleaned,4,333.75537943840027
s3d,duolingo_cleaned,4,331.9796636104584
s3d,duolingo_cleaned,4,334.1839520931244
s3d,duolingo_cleaned,4,336.62131905555725
s3d,duolingo_cleaned,4,331.71857047080994
linearsvc,duolingo_cleaned,0,204.1604986190796
linearsvc,duolingo_cleaned,0,194.51760864257812
linearsvc,duolingo_cleaned,0,185.01578760147095
linearsvc,duolingo_cleaned,0,185.99973344802856
linearsvc,duolingo_cleaned,0,187.4622049331665
linearsvc,duolingo_cleaned,0,185.3842694759369
linearsvc,duolingo_cleaned,0,187.11542129516602
linearsvc,duolingo_cleaned,0,185.2447965145111
linearsvc,duolingo_cleaned,0,185.62562537193298
linearsvc,duolingo_cleaned,0,185.58067297935486
linearsvc,duolingo_cleaned,1,191.03766202926636
linearsvc,duolingo_cleaned,1,191.01473808288574
linearsvc,duolingo_cleaned,1,190.66627550125122
linearsvc,duolingo_cleaned,1,190.0067653656006
linearsvc,duolingo_cleaned,1,191.2264575958252
linearsvc,duolingo_cleaned,1,192.7293815612793
linearsvc,duolingo_cleaned,1,196.07646942138672
linearsvc,duolingo_cleaned,1,197.82714319229126
linearsvc,duolingo_cleaned,1,194.58739805221558
linearsvc,duolingo_cleaned,1,189.89658856391907
linearsvc,duolingo_cleaned,2,188.47735404968262
linearsvc,duolingo_cleaned,2,188.23791313171387
linearsvc,duolingo_cleaned,2,188.51783752441406
linearsvc,duolingo_cleaned,2,188.5867054462433
linearsvc,duolingo_cleaned,2,190.91128826141357
