clf_name,data_name,fold_index,train_time
linearsvc,twitter,0,1406.0113792419434
linearsvc,twitter,0,1160.6751670837402
linearsvc,twitter,0,1182.8121230602264
linearsvc,twitter,0,1211.3506526947021
linearsvc,twitter,0,1208.53244638443
linearsvc,twitter,0,1208.8653633594513
linearsvc,twitter,0,1209.5148236751556
linearsvc,twitter,0,1208.106257200241
linearsvc,twitter,0,1208.531336069107
linearsvc,twitter,0,1207.464278936386
linearsvc,twitter,1,1158.8223695755005
linearsvc,twitter,1,1158.502869606018
linearsvc,twitter,1,1180.7390682697296
linearsvc,twitter,1,1156.908228635788
linearsvc,twitter,1,1158.166898727417
linearsvc,twitter,1,1182.5400185585022
linearsvc,twitter,1,1171.3041384220123
linearsvc,twitter,1,1205.159679889679
linearsvc,twitter,1,1209.9209167957306
linearsvc,twitter,1,1208.7328395843506
linearsvc,twitter,2,1203.9782536029816
linearsvc,twitter,2,1201.6980922222137
linearsvc,twitter,2,1200.6460831165314
linearsvc,twitter,2,1203.2848451137543
linearsvc,twitter,2,1202.8573191165924
linearsvc,twitter,2,1199.7053594589233
linearsvc,twitter,2,1200.887454509735
linearsvc,twitter,2,1201.05082654953
linearsvc,twitter,2,1450.0237503051758
linearsvc,twitter,2,1333.9312257766724
linearsvc,twitter,3,1742.7633736133575
linearsvc,twitter,3,1809.8611075878143
linearsvc,twitter,3,1483.7834997177124
linearsvc,twitter,3,1366.876558303833
linearsvc,twitter,3,1390.0505437850952
linearsvc,twitter,3,1360.8545355796814
linearsvc,twitter,3,1396.5982325077057
linearsvc,twitter,3,1328.7776749134064
linearsvc,twitter,3,1416.4253194332123
linearsvc,twitter,3,1446.1339237689972
linearsvc,twitter,4,1283.9873747825623
linearsvc,twitter,4,1315.2867286205292
linearsvc,twitter,4,1282.6909873485565
linearsvc,twitter,4,1283.22340965271
linearsvc,twitter,4,1281.1618826389313
linearsvc,twitter,4,1284.608736038208
linearsvc,twitter,4,1282.3618304729462
linearsvc,twitter,4,1188.7591273784637
linearsvc,twitter,4,1183.655769109726
linearsvc,twitter,4,1195.8674516677856
lasso,twitter,0,1179.3194620609283
lasso,twitter,0,1162.6664397716522
lasso,twitter,0,1141.4474596977234
lasso,twitter,0,1139.7797813415527
lasso,twitter,0,1147.7569370269775
lasso,twitter,0,1145.9242572784424
lasso,twitter,0,1150.6504871845245
lasso,twitter,0,1151.8049676418304
lasso,twitter,0,1155.2840676307678
lasso,twitter,0,1143.5588388442993
lasso,twitter,1,1053.9806473255157
lasso,twitter,1,1051.0256605148315
lasso,twitter,1,1069.4042148590088
lasso,twitter,1,1066.3887975215912
lasso,twitter,1,1065.590091228485
lasso,twitter,1,1069.1181104183197
lasso,twitter,1,1070.0243196487427
lasso,twitter,1,1067.3206276893616
lasso,twitter,1,1054.232091665268
lasso,twitter,1,1049.8898940086365
lasso,twitter,2,1458.6062059402466
lasso,twitter,2,1464.928519487381
lasso,twitter,2,1451.9055361747742
lasso,twitter,2,1446.385528087616
lasso,twitter,2,1443.9979319572449
lasso,twitter,2,1445.3257389068604
lasso,twitter,2,1443.5246438980103
lasso,twitter,2,1455.104903936386
lasso,twitter,2,1891.2145364284515
lasso,twitter,2,1606.4207046031952
lasso,twitter,3,1461.561729669571
lasso,twitter,3,1532.9118647575378
lasso,twitter,3,1189.5913836956024
lasso,twitter,3,1093.2191343307495
lasso,twitter,3,1119.5217015743256
lasso,twitter,3,1135.374543428421
lasso,twitter,3,1137.9488725662231
lasso,twitter,3,1131.4209382534027
lasso,twitter,3,1126.7032742500305
lasso,twitter,3,1127.4558746814728
lasso,twitter,4,1163.8832161426544
lasso,twitter,4,1160.411161184311
lasso,twitter,4,1159.5892372131348
lasso,twitter,4,1160.8240139484406
lasso,twitter,4,1160.0840842723846
lasso,twitter,4,1163.8758494853973
lasso,twitter,4,1159.7550640106201
lasso,twitter,4,1159.1341798305511
lasso,twitter,4,1162.7937009334564
lasso,twitter,4,1160.3976588249207
elasticnet,twitter,0,1389.934369802475
elasticnet,twitter,0,1240.0628852844238
elasticnet,twitter,0,1238.4467811584473
elasticnet,twitter,0,1243.5355937480927
elasticnet,twitter,0,1236.5077252388
elasticnet,twitter,0,1237.4696972370148
elasticnet,twitter,0,1239.1287178993225
elasticnet,twitter,0,1238.125281572342
elasticnet,twitter,0,1238.234384059906
elasticnet,twitter,0,1238.5060470104218
elasticnet,twitter,1,1250.055828332901
elasticnet,twitter,1,1249.3950443267822
elasticnet,twitter,1,1250.4013571739197
elasticnet,twitter,1,1250.2855393886566
elasticnet,twitter,1,1253.2230732440948
elasticnet,twitter,1,1249.3211424350739
elasticnet,twitter,1,1250.0286915302277
elasticnet,twitter,1,1249.095409154892
elasticnet,twitter,1,1250.7020745277405
elasticnet,twitter,1,1249.3435416221619
elasticnet,twitter,2,1240.8355247974396
elasticnet,twitter,2,1240.929310798645
elasticnet,twitter,2,1241.4727447032928
elasticnet,twitter,2,1240.47340798378
elasticnet,twitter,2,1240.516411781311
elasticnet,twitter,2,1239.4766833782196
elasticnet,twitter,2,1239.1749947071075
elasticnet,twitter,2,1576.597715139389
elasticnet,twitter,2,1302.3627498149872
elasticnet,twitter,2,1715.0947179794312
elasticnet,twitter,3,1944.4658102989197
elasticnet,twitter,3,1225.0182530879974
elasticnet,twitter,3,1220.3459858894348
elasticnet,twitter,3,1214.4150276184082
elasticnet,twitter,3,1217.4056706428528
elasticnet,twitter,3,1217.2281696796417
elasticnet,twitter,3,1212.4922671318054
elasticnet,twitter,3,1211.9121894836426
elasticnet,twitter,3,1213.2690024375916
elasticnet,twitter,3,1218.8322355747223
elasticnet,twitter,4,1224.1340634822845
elasticnet,twitter,4,1224.0010540485382
elasticnet,twitter,4,1224.5706641674042
elasticnet,twitter,4,1225.4874727725983
elasticnet,twitter,4,1224.604791879654
elasticnet,twitter,4,1223.7940003871918
elasticnet,twitter,4,1224.2494654655457
elasticnet,twitter,4,1223.9741542339325
elasticnet,twitter,4,1224.0688877105713
elasticnet,twitter,4,1224.0819931030273
randomforest,twitter,0,846.5255138874054
randomforest,twitter,0,753.2419989109039
randomforest,twitter,0,727.1961908340454
randomforest,twitter,0,729.291003704071
randomforest,twitter,0,722.5120887756348
randomforest,twitter,0,721.3330886363983
randomforest,twitter,0,724.5447714328766
randomforest,twitter,0,722.1015954017639
randomforest,twitter,0,723.206148147583
randomforest,twitter,0,723.5509414672852
randomforest,twitter,1,257.66973209381104
randomforest,twitter,1,263.9198019504547
randomforest,twitter,1,303.9020161628723
randomforest,twitter,1,306.5078458786011
randomforest,twitter,1,426.8768663406372
randomforest,twitter,1,427.71251106262207
randomforest,twitter,1,427.76470828056335
randomforest,twitter,1,428.80959272384644
randomforest,twitter,1,427.5669059753418
randomforest,twitter,1,427.0661447048187
randomforest,twitter,2,725.5464141368866
randomforest,twitter,2,724.648444890976
randomforest,twitter,2,714.8119592666626
randomforest,twitter,2,716.3606126308441
randomforest,twitter,2,713.7134380340576
randomforest,twitter,2,713.996467590332
randomforest,twitter,2,715.4329636096954
randomforest,twitter,2,713.8631789684296
randomforest,twitter,2,714.8957934379578
randomforest,twitter,2,713.8633635044098
randomforest,twitter,3,724.6364817619324
randomforest,twitter,3,721.566967010498
randomforest,twitter,3,718.0136060714722
randomforest,twitter,3,725.7641949653625
randomforest,twitter,3,723.2516453266144
randomforest,twitter,3,722.8219723701477
randomforest,twitter,3,720.159051656723
randomforest,twitter,3,722.7326309680939
randomforest,twitter,3,719.2516951560974
randomforest,twitter,3,722.7954065799713
randomforest,twitter,4,701.501118183136
randomforest,twitter,4,702.0025117397308
randomforest,twitter,4,701.5389819145203
randomforest,twitter,4,701.8737509250641
randomforest,twitter,4,700.1579661369324
randomforest,twitter,4,702.6723213195801
randomforest,twitter,4,702.9866564273834
randomforest,twitter,4,702.0401782989502
randomforest,twitter,4,704.744345664978
randomforest,twitter,4,702.3602638244629
