clf_name,data_name,fold_index,train_time
s3d,digg,0,527.5988209247589
s3d,digg,0,506.40451431274414
s3d,digg,0,509.7182321548462
s3d,digg,0,502.68355917930603
s3d,digg,0,505.54514813423157
s3d,digg,0,513.5359268188477
s3d,digg,0,492.8832893371582
s3d,digg,0,502.2600648403168
s3d,digg,0,509.3886892795563
s3d,digg,0,503.05637764930725
s3d,digg,1,505.1329905986786
s3d,digg,1,503.735876083374
s3d,digg,1,526.4715418815613
s3d,digg,1,566.7386140823364
s3d,digg,1,567.3857841491699
s3d,digg,1,543.0147123336792
s3d,digg,1,556.6579234600067
s3d,digg,1,558.9255492687225
s3d,digg,1,546.7573673725128
s3d,digg,1,525.5763392448425
s3d,digg,2,564.4203617572784
s3d,digg,2,553.1539344787598
s3d,digg,2,548.2796795368195
s3d,digg,2,567.9191462993622
s3d,digg,2,519.1338486671448
s3d,digg,2,568.6916363239288
s3d,digg,2,571.3626139163971
s3d,digg,2,527.4870715141296
s3d,digg,2,515.0718679428101
s3d,digg,2,513.6155021190643
s3d,digg,3,507.4462220668793
s3d,digg,3,507.93093633651733
s3d,digg,3,504.172824382782
s3d,digg,3,518.7090501785278
s3d,digg,3,536.6637334823608
s3d,digg,3,536.4706537723541
s3d,digg,3,527.1927192211151
s3d,digg,3,527.3485867977142
s3d,digg,3,544.9725623130798
s3d,digg,3,576.7790853977203
s3d,digg,4,535.0711133480072
s3d,digg,4,531.5170614719391
s3d,digg,4,570.7616865634918
s3d,digg,4,535.5550186634064
s3d,digg,4,514.623987197876
s3d,digg,4,512.2499485015869
s3d,digg,4,513.3508863449097
s3d,digg,4,510.66809916496277
s3d,digg,4,508.96282863616943
s3d,digg,4,514.2276799678802
linearsvc,digg,0,224.4802098274231
linearsvc,digg,0,203.28963613510132
linearsvc,digg,0,190.1682846546173
linearsvc,digg,0,173.29673862457275
linearsvc,digg,0,175.04226279258728
linearsvc,digg,0,174.3767375946045
linearsvc,digg,0,175.79949975013733
linearsvc,digg,0,173.65112400054932
linearsvc,digg,0,174.51935172080994
linearsvc,digg,0,173.43795657157898
linearsvc,digg,1,187.4180338382721
linearsvc,digg,1,187.1109127998352
linearsvc,digg,1,187.8252890110016
