time_to_solve_problem,time_since_previous_problem,user_sequence_num,problem_index,num_problems_in_sequence,day_of_week,weekend_bool,hour_of_day,month,month_user_first,num_first_five_solved_wo_hints,num_all_solved_wo_hints,time_interval,total_time_solving_problems,total_attempts,num_problems,num_sequences
0.128282,0.114096,0,0.00618716,0.0119109,0,0,0,0,0,0.0328175,0.032178,0.00455357,0.00351946,0,0.00391059,0
0,0.0148862,0.00870289,0,0,0,0,0,0,0.00884254,0.0246837,0.0338162,0.0122022,0.0179955,0.0120432,0.0134167,0.0127219
0,0.0142185,0,0,0,0,0,0,0,0,0.00708578,0,0,0,0.00417064,0.00319305,0
0,0,0.00258831,0,0,0,0,0,0,0,0.0109364,0,0,0,0.00685413,0.00313499,0
0,0,0.00955096,0.00454454,0.00352617,0,0,0,0,0,0,0,0.00276089,0.0046363,0.00756173,0.00507132,0.01184
0,0,0.00257129,0.00615505,0.00344541,0,0,0,0,0,0,0,0,0,0.00343947,0.00248678,0
0,0,0.00466378,0,0.0028799,0,0,0,0.00487753,0.00250354,0,0,0,0,0.00261231,0,0
