season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed
0.0676447,0.0622488,0.0747925,0.498353,0.00114407,0.000939533,0.000885718,0.0224567,0.1757,0.189405,0.124711,0.0161929
0.103306,0.0963247,0.117317,0,0.00511459,0.133526,0.134032,0.0402961,0.161196,0.170429,0.0917806,0.0208728
0.0367647,0.0966395,0.0557156,0,0.00938301,0.153377,0.146699,0.0490697,0.0301251,0,0.0308691,0.0664168
0.0348206,0.0925418,0.0640714,0,0.0145558,0,0.0145558,0.0510334,0.0248358,0,0.0115143,0.0862743
