accuracy,auc_macro,auc_micro,f1_binary,f1_macro,f1_micro,r2,threshold,num_features,test_fold_i,train_r2,lambda_,max_features,split_version
0.998612,0.7817689907940185,0.7817689907940185,0.05834464043419268,0.5288250642894776,0.998612,-1.0159027450900622,0.0425532,9,0,0.0295365,0.001,19,1
0.99862,0.6445739525273118,0.6445739525273118,0.04432132963988919,0.5218154155499717,0.99862,-1.004283709095307,0.0714286,10,0,0.053289300000000005,0.001,19,1
0.998472,0.5200556899233325,0.5200556899233325,0.03535353535353535,0.5172944648929628,0.998472,-1.2192358749982817,0.1,11,0,0.104268,0.001,19,1
0.998461,0.43095877166769936,0.43095877166769936,0.030245746691871453,0.5147378178043635,0.998461,-1.2352120494910706,0.125,12,0,0.190279,0.001,19,1
0.934629,0.7137884055275234,0.7137884055275234,0.010145212822337636,0.4881717827639249,0.934629,-95.19923901193994,0.00511564,1,1,0.00187068,0.001,19,1
0.992978,0.7435011418058398,0.7435011418058398,0.03939808481532147,0.5179371025173617,0.992978,-9.333497366444481,0.0224818,2,1,0.00496501,0.001,19,1
0.992978,0.7430542761725032,0.7430542761725032,0.03939808481532147,0.5179371025173617,0.992978,-9.333497366444481,0.0173693,3,1,0.00706263,0.001,19,1
0.99498,0.7618251948089407,0.7618251948089407,0.04996214988644966,0.5237227504499135,0.99498,-6.387376357099302,0.0216628,4,1,0.011070100000000001,0.001,19,1
0.997437,0.8276846667498605,0.8276846667498605,0.05944954128440366,0.5290831464292116,0.997437,-2.771682391084763,0.0264475,5,1,0.0171585,0.001,19,1
0.9986,0.8197632463604665,0.8197632463604665,0.05660377358490566,0.5279516268996124,0.9986,-1.0602244820595663,0.0364078,6,1,0.025084799999999997,0.001,19,1
0.998554,0.7739341112250447,0.7739341112250447,0.05981794538361509,0.529547194484366,0.998554,-1.1279175721843804,0.0380952,7,1,0.0414064,0.001,19,1
0.998602,0.6441480316909618,0.6441480316909618,0.05027173913043479,0.5247861121437551,0.998602,-1.0572813042280527,0.0666667,8,1,0.0741893,0.001,19,1
0.998629,0.47636226898997197,0.47636226898997197,0.035186488388458836,0.5172502504972076,0.998629,-1.017548403502618,0.125,9,1,0.138717,0.001,19,1
0.998648,0.48144929802265535,0.48144929802265535,0.03840682788051209,0.5188651761590959,0.998648,-0.9895882141032382,0.153846,10,1,0.23095700000000002,0.001,19,1
0.935098,0.6856611388083947,0.6856611388083947,0.009643848994415113,0.48804675243421963,0.935098,-88.58494908808886,0.00519816,1,2,0.00200218,0.001,19,1
0.991967,0.7248221802185895,0.7248221802185895,0.036695047367789904,0.5163308652264567,0.991967,-10.08803882815041,0.0209282,2,2,0.00519626,0.001,19,1
0.991892,0.7500536889244702,0.7500536889244702,0.03682584937039677,0.5163773569807303,0.991892,-10.191562158426928,0.0205674,3,2,0.00739447,0.001,19,1
0.991959,0.7498168275447974,0.7498168275447974,0.03642899940083883,0.516195826787691,0.991959,-10.099081316713237,0.020614,4,2,0.019362900000000002,0.001,19,1
0.993522,0.7659800465682448,0.7659800465682448,0.03773024361259655,0.5172401521584636,0.993522,-7.941655113750572,0.0220752,5,2,0.0262758,0.001,19,1
0.995035,0.8045703307311592,0.8045703307311592,0.045742840668844896,0.5216269328001019,0.995035,-5.853244464305587,0.024557,6,2,0.0323529,0.001,19,1
0.997924,0.8269662615741239,0.8269662615741239,0.05118829981718464,0.525074581500754,0.997924,-1.8655257820540583,0.0347414,7,2,0.042047,0.001,19,1
0.998621,0.729066042536011,0.729066042536011,0.04435204435204435,0.5218310232593038,0.998621,-0.9034489660176042,0.0555556,8,2,0.058545900000000005,0.001,19,1
0.998631,0.5741861684203806,0.5741861684203806,0.033874382498235704,0.516594698593071,0.998631,-0.8896458553140683,0.0909091,9,2,0.09636510000000001,0.001,19,1
0.998593,0.5170769200774009,0.5170769200774009,0.027643400138217,0.5134696953937259,0.998593,-0.9420976759875046,0.142857,10,2,0.16880599999999998,0.001,19,1
0.934813,0.6985069794927975,0.6985069794927975,0.010474065303520196,0.4883852088535839,0.934813,-86.33029597205498,0.0050585,1,3,0.00190244,0.001,19,1
0.998435,0.7423395704971801,0.7423395704971801,0.032158317872603585,0.5156875923547205,0.998435,-1.0966130240119356,0.0470715,2,3,0.00646333,0.001,19,1
0.998593,0.8398356859052962,0.8398356859052962,0.03431708991077556,0.5168065385186987,0.998593,-0.8849421883608906,0.0549402,3,3,0.00810623,0.001,19,1
0.994913,0.8444114895728045,0.8444114895728045,0.048269410664172126,0.5228595474727069,0.994913,-5.814997094663717,0.026383,4,3,0.0120735,0.001,19,1
0.995179,0.839576255832585,0.839576255832585,0.053778213935230613,0.5256807787514847,0.995179,-5.45863986502335,0.0270392,5,3,0.0176716,0.001,19,1
0.998647,0.831265594622744,0.831265594622744,0.08021753908905507,0.5397702705785381,0.998647,-0.8125989913662295,0.0580645,6,3,0.0254492,0.001,19,1
0.998649,0.7854485902039774,0.7854485902039774,0.07402330363262509,0.5366736552478159,0.998649,-0.8099196136997606,0.0547945,7,3,0.0365834,0.001,19,1
