r2,mae_median,mae,mse,num_features,test_fold_i,train_r2,lambda_,max_features,split_version
-5.04013464206147,-1.1940514047258992,-1.3008453527790724,-2.3072478560577028,1,2,0.999994,1e-05,20,1
-5.042590672634875,-1.1940514047258992,-1.301209968163688,-2.3081860257527027,2,2,1.0,1e-05,20,1
-20.810555480947006,-1.080331585282323,-1.348592379524834,-2.668187037184684,1,3,1.0,1e-05,20,1
-1.2775866103630587,-1.416371634535604,-1.4956504262795218,-3.4419847362238345,1,0,0.988158,0.003,20,2
-1.2859378656379272,-1.3938896345356042,-1.4976223999637321,-3.454605504651967,2,0,0.997308,0.003,20,2
-1.2859378656379272,-1.3938896345356042,-1.4976223999637321,-3.454605504651967,3,0,0.9973190000000001,0.003,20,2
-2.3895261612220664,-1.4838181203357619,-1.3842818833556643,-2.691349941680736,1,1,0.9768530000000001,0.003,20,2
-2.355013280910185,-1.4388534205788313,-1.3827446679710487,-2.6639460409593654,2,1,0.9964350000000001,0.003,20,2
-2.360494281226187,-1.4388534205788313,-1.3853067192531,-2.6682980622092933,3,1,0.999607,0.003,20,2
-1.9999554311828693,-1.0191876475201003,-1.014063747950751,-1.4853581317395927,1,2,0.9807469999999999,0.003,20,2
-1.9746705173472159,-0.9892119926652848,-0.9939519530789562,-1.47283889495836,2,2,0.998693,0.003,20,2
-1.9993683008339183,-1.0191876475201003,-0.9981793376943412,-1.4850674278080807,3,2,0.9989389999999999,0.003,20,2
-1.999115002801477,-1.0191876475201003,-0.9979231838481873,-1.4849420131808067,4,2,0.9989469999999999,0.003,20,2
-13.85891252135901,-0.8033599988404306,-1.1005592220509584,-1.9883468357716514,1,3,0.9752780000000001,0.003,20,2
-14.27170413997059,-0.8393314990834998,-1.139553770768907,-2.0435845866850895,2,3,0.9991200000000001,0.003,20,2
-14.526915658435936,-0.8393314990834998,-1.147624206666343,-2.077735741048749,3,3,0.999777,0.003,20,2
-1.1368707690756836,-1.5512639054624886,-1.5211564880747561,-3.229329034942366,1,0,0.993642,0.001,20,2
-1.1256515098191069,-1.6187102302884622,-1.5148457226018293,-3.2123740181991294,2,0,0.999274,0.001,20,2
-1.1256515098191069,-1.6187102302884622,-1.5148457226018293,-3.2123740181991294,3,0,0.99928,0.001,20,2
-2.202507104745374,-1.498805602617985,-1.4213039756151933,-2.542853159888599,1,1,0.995755,0.001,20,2
-2.182099836019522,-1.4988057657240157,-1.4145144115126291,-2.526649390133542,2,1,0.9995120000000001,0.001,20,2
-2.0392617102495985,-0.7793791747044388,-0.9419422675147121,-1.504819721279665,1,2,0.994576,0.001,20,2
