season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed
0.0581104,0.0616214,0.0693501,0.496924,0,0,0,0.0214166,0.162822,0.173811,0.108185,0.0135863
0.0982242,0.0963348,0.112683,0,0.00450719,0.114747,0.116388,0.0370664,0.142567,0.149065,0.0526851,0.00841074
0.018261,0.0871627,0.0184977,0,0.00547528,0.128238,0.124289,0.0214468,0.0054965,0,0.0456094,0.0235096
0.0262974,0.0969173,0.0373382,0,0.0109181,0,0.0109181,0.0284445,0.0308589,0,0.0282279,0.0338798
