split_version,lambda_,num_features,best_value,metric
0,0.001,2,0.945094461142121,f1_micro
1,0.003,2,0.9505420781451268,f1_micro
2,1e-05,3,0.9432293902962645,f1_micro
3,1e-05,3,0.948703842851009,f1_micro
4,0.0003,3,0.9397810218978102,f1_micro
