split_version,lambda_,num_features,best_value,metric
0,0.003,6,0.88051246898721,f1_micro
1,0.003,6,0.88051246898721,f1_micro
2,0.003,5,0.8826892744479495,f1_micro
3,0.003,8,0.8909043112513144,f1_micro
4,0.003,8,0.8909043112513144,f1_micro
