time_to_solve_problem,0,0,11,26,66,1.70965e+06
num_all_solved_wo_hints,0,3,3763,13348
time_since_previous_problem,-1,20,60,132,5.0232e+07
num_first_five_solved_wo_hints,0,0,2,4,5
user_sequence_num,1,1,956
problem_index,1,5,1278
