number_of_ans_wrote_by_user_before_this,0,53,546,3587,11033,22330
percentile,-7.49574e-08,0.323457,0.564794,0.762954,0.972459,1
code_lines,0,0,1037
words,0,42,85,178,3696
urls,0,0,87
