accuracy,auc_macro,auc_micro,f1_binary,f1_macro,f1_micro,r2,threshold,num_features,test_fold_i,train_r2,lambda_,max_features,split_version
0.553906569741381,0.5949465825039566,0.5949465825039566,0.5009320934491818,0.5488230920489974,0.553906569741381,-1.023363454568301,0.394402,1,0,0.031163999999999997,0.003,12,0
0.553906569741381,0.6180593604148681,0.6180593604148681,0.5009320934491818,0.5488230920489974,0.553906569741381,-1.023363454568301,0.355225,2,0,0.0410048,0.003,12,0
0.626298454522422,0.6274513466073013,0.6274513466073013,0.4504077157884177,0.5836543801693354,0.626298454522422,-0.695012745640891,0.416545,3,0,0.0467838,0.003,12,0
0.6248855021340454,0.6347219909507661,0.6347219909507661,0.45860992349234925,0.5858168150337846,0.6248855021340454,-0.7014215291641748,0.39685,4,0,0.0506985,0.003,12,0
0.6266687454931691,0.6404140631562346,0.6404140631562346,0.4671488178025035,0.5899159015818373,0.6266687454931691,-0.6933332023727201,0.369648,5,0,0.0544033,0.003,12,0
0.5537674486589198,0.5961110799778959,0.5961110799778959,0.49898524641280506,0.5483678334731283,0.5537674486589198,-1.0356712797033851,0.395184,1,1,0.030905500000000002,0.003,12,0
0.5537674486589198,0.6192192760081788,0.6192192760081788,0.49898524641280506,0.5483678334731283,0.5537674486589198,-1.0356712797033851,0.356088,2,1,0.040780800000000006,0.003,12,0
0.623065117298838,0.6296829630792902,0.6296829630792902,0.45890976234105946,0.5848557603834249,0.623065117298838,-0.7195417786691636,0.408643,3,1,0.0465144,0.003,12,0
0.6210236546566299,0.6363495919451286,0.6363495919451286,0.46753513461709606,0.5866791550381639,0.6210236546566299,-0.7288547408384203,0.389382,4,1,0.0504436,0.003,12,0
0.6259104972106507,0.6430038577873051,0.6430038577873051,0.4724329375549692,0.5913233929982927,0.6259104972106507,-0.7065614208962616,0.369639,5,1,0.053929599999999994,0.003,12,0
0.5535189651392238,0.5955665692096394,0.5955665692096394,0.4986980306345733,0.5481148811875489,0.5535189651392238,-1.034334603992407,0.395514,1,2,0.0310723,0.003,12,0
0.5535189651392238,0.6174043446244306,0.6174043446244306,0.4986980306345733,0.5481148811875489,0.5535189651392238,-1.034334603992407,0.355831,2,2,0.041213,0.003,12,0
0.6271480425832542,0.6273351493685817,0.6273351493685817,0.44846126126126123,0.5834232412142768,0.6271480425832542,-0.6988529857168744,0.416149,3,2,0.0468866,0.003,12,0
0.6255353358181686,0.6344094786594638,0.6344094786594638,0.45613761967774574,0.5853037479641677,0.6255353358181686,-0.7062010809821737,0.395733,4,2,0.0507771,0.003,12,0
0.6275670540086239,0.6401831961499969,0.6401831961499969,0.46183415705656233,0.5885452578676045,0.6275670540086239,-0.6969438129289116,0.374981,5,2,0.0544354,0.003,12,0
0.5708543448074253,0.5985787910829037,0.5985787910829037,0.473998518978573,0.5557930283649356,0.5708543448074253,-0.9481277404762669,0.359535,1,3,0.0276249,0.003,12,0
0.5999415332894833,0.6179738132511559,0.6179738132511559,0.4734580805684165,0.5754431531430797,0.5999415332894833,-0.8160850223717788,0.358913,2,3,0.0385486,0.003,12,0
0.6328241857292504,0.6307054833725878,0.6307054833725878,0.4449894316667035,0.5853285715414335,0.6328241857292504,-0.6668126095598541,0.396806,3,3,0.0431402,0.003,12,0
0.631450218032108,0.6377462746571656,0.6377462746571656,0.4549391478537819,0.5882720441986135,0.631450218032108,-0.6730498032793626,0.383304,4,3,0.0480324,0.003,12,0
0.6328729079880143,0.6429386083674369,0.6429386083674369,0.4605107717421655,0.5911384849150936,0.6328729079880143,-0.6665914324776019,0.371664,5,3,0.0521293,0.003,12,0
0.553906569741381,0.6022262775773013,0.6022262775773013,0.5009320934491818,0.5488230920489974,0.553906569741381,-1.023363454568301,0.371005,1,0,0.0323083,0.001,12,0
0.6046900274794879,0.6220079918937048,0.6220079918937048,0.4687092781884974,0.5769790208225001,0.6046900274794879,-0.7930229350400744,0.380375,2,0,0.0419601,0.001,12,0
0.629728518251447,0.6346700740066782,0.6346700740066782,0.4467787726577855,0.5842627084826871,0.629728518251447,-0.6794548711567816,0.374443,3,0,0.0501725,0.001,12,0
0.6365983902087272,0.6396603240354376,0.6396603240354376,0.4518959435626102,0.5900444995793285,0.6365983902087272,-0.6482949236815059,0.377044,4,0,0.0542749,0.001,12,0
0.6392342772504921,0.6442657299125116,0.6442657299125116,0.44999888581042435,0.5907923603527674,0.6392342772504921,-0.6363392275225526,0.382979,5,0,0.0584975,0.001,12,0
0.5885064191575922,0.602196989587922,0.602196989587922,0.46760843939307983,0.5661329987859294,0.5885064191575922,-0.8771953363458656,0.406341,1,1,0.032128500000000004,0.001,12,0
0.5817535140929133,0.6230119128182466,0.6230119128182466,0.48929423453330717,0.5675804142968058,0.5817535140929133,-0.9080014594164858,0.36984,2,1,0.0417768,0.001,12,0
0.6328290579551268,0.6368246286147097,0.6368246286147097,0.44804148478012484,0.5864814115437282,0.6328290579551268,-0.6749995920648901,0.399029,3,1,0.0499395,0.001,12,0
0.6315476625496358,0.6416649389946865,0.6416649389946865,0.45608659690006115,0.5887513347728097,0.6315476625496358,-0.6808451983907005,0.387246,4,1,0.0538845,0.001,12,0
0.6429145655192575,0.6469038798777557,0.6469038798777557,0.4549308344489067,0.5947081082362999,0.6429145655192575,-0.6289904472191588,0.380014,5,1,0.057607900000000004,0.001,12,0
0.5878681575677849,0.6016392172914273,0.6016392172914273,0.46780586629084825,0.5657680244997582,0.5878681575677849,-0.8778268347466087,0.406263,1,2,0.032224,0.001,12,0
0.5800920850690638,0.6209779385942347,0.6209779385942347,0.4878292288675477,0.5660087610289898,0.5800920850690638,-0.9132575297418277,0.369711,2,2,0.042193800000000004,0.001,12,0
0.6324490243367683,0.634779704906302,0.634779704906302,0.44614774679529534,0.585555826409854,0.6324490243367683,-0.6746997299807853,0.387918,3,2,0.0504522,0.001,12,0
0.6325708299836781,0.6398383773434011,0.6398383773434011,0.4507308972519429,0.5873439766263229,0.6325708299836781,-0.6741447378912613,0.391037,4,2,0.054336800000000005,0.001,12,0
0.6393042461448513,0.6443443377973355,0.6443443377973355,0.45519372999227287,0.592801431555376,0.6393042461448513,-0.6434647751823686,0.37878,5,2,0.0582695,0.001,12,0
0.5888474749689395,0.6048915583534564,0.6048915583534564,0.4729337255710244,0.567951029042806,0.5888474749689395,-0.866447044000576,0.404562,1,3,0.0314894,0.001,12,0
0.5815050305732173,0.623510583080543,0.623510583080543,0.4934121282895125,0.5684554083689485,0.5815050305732173,-0.8997784302959635,0.367181,2,3,0.0415466,0.001,12,0
0.630168822626617,0.6369914482848047,0.6369914482848047,0.45362279198998035,0.5870542853323103,0.630168822626617,-0.678866760542592,0.39531,3,3,0.0498019,0.001,12,0
0.6251942800068211,0.641841163236141,0.641841163236141,0.4665737485524884,0.588837672880705,0.6251942800068211,-0.7014489406405289,0.382903,4,3,0.0537293,0.001,12,0
0.6410679919121051,0.6465152807507308,0.6465152807507308,0.45480851063829786,0.5936381630416264,0.6410679919121051,-0.6293894472428032,0.382207,5,3,0.0575173,0.001,12,0
0.5785260470464423,0.6060712114282443,0.6060712114282443,0.4823066841415466,0.5634454564053214,0.5785260470464423,-0.9116959264884652,0.382614,1,0,0.03358080000000001,0.0003,12,0
0.6023659644130888,0.6256074155107949,0.6256074155107949,0.4734030197444831,0.5769961386118505,0.6023659644130888,-0.8035642789731996,0.380375,2,0,0.043734800000000004,0.0003,12,0
