percentile,signup_duration,words,code_lines,urls,images,readability,reputation,session_length,answer_position_in_session,number_of_ans_wrote_by_user_before_this,time_since_previous_answer
0.0320066,0.0320066,0.00738918,0.0156518,0.00272628,0,0,0.0278067,0,0,0.0239439,0.00156054
0,0,0.00728492,0.00983938,0.00300853,0,0,0.00566656,0,0,0.00619473,0.00125055
0,0,0.00817566,0,0.00563144,0,0,0.00402988,0,0,0.00478155,0.00110558
0,0,0,0,0.00391494,0,0,0.00289232,0,0,0.00371317,0
0,0,0,0,0,0,0,0.00218971,0.0010314,0,0.00386752,0
