accuracy,auc_macro,auc_micro,f1_binary,f1_macro,f1_micro,r2,threshold,num_features,test_fold_i,train_r2,lambda_,max_features,split_version
0.7368421052631579,0.5107142857142857,0.5107142857142857,0.8484848484848484,0.4242424242424242,0.7368421052631579,-0.3571428571428572,0.0,1,0,1,0.003,20,0
0.8717948717948718,0.4676470588235294,0.4676470588235294,0.9315068493150686,0.4657534246575343,0.8717948717948718,-0.1470588235294117,0.0,1,1,1,0.003,20,0
0.8461538461538461,0.7196969696969697,0.7196969696969697,0.9166666666666666,0.4583333333333333,0.8461538461538461,-0.18181818181818166,0.0,1,2,1,0.003,20,0
0.9230769230769231,0.8055555555555556,0.8055555555555556,0.9600000000000001,0.48000000000000004,0.9230769230769231,-0.0833333333333337,0.0,1,3,1,0.003,20,0
0.7368421052631579,0.5107142857142857,0.5107142857142857,0.8484848484848484,0.4242424242424242,0.7368421052631579,-0.3571428571428572,0.0,1,0,1,0.001,20,0
0.8717948717948718,0.4676470588235294,0.4676470588235294,0.9315068493150686,0.4657534246575343,0.8717948717948718,-0.1470588235294117,0.0,1,1,1,0.001,20,0
0.8461538461538461,0.7196969696969697,0.7196969696969697,0.9166666666666666,0.4583333333333333,0.8461538461538461,-0.18181818181818166,0.0,1,2,1,0.001,20,0
0.9230769230769231,0.8055555555555556,0.8055555555555556,0.9600000000000001,0.48000000000000004,0.9230769230769231,-0.0833333333333337,0.0,1,3,1,0.001,20,0
0.7368421052631579,0.5107142857142857,0.5107142857142857,0.8484848484848484,0.4242424242424242,0.7368421052631579,-0.3571428571428572,0.0,1,0,1,0.0003,20,0
0.8717948717948718,0.4676470588235294,0.4676470588235294,0.9315068493150686,0.4657534246575343,0.8717948717948718,-0.1470588235294117,0.0,1,1,1,0.0003,20,0
0.8461538461538461,0.7196969696969697,0.7196969696969697,0.9166666666666666,0.4583333333333333,0.8461538461538461,-0.18181818181818166,0.0,1,2,1,0.0003,20,0
0.9230769230769231,0.8055555555555556,0.8055555555555556,0.9600000000000001,0.48000000000000004,0.9230769230769231,-0.0833333333333337,0.0,1,3,1,0.0003,20,0
0.7368421052631579,0.5107142857142857,0.5107142857142857,0.8484848484848484,0.4242424242424242,0.7368421052631579,-0.3571428571428572,0.0,1,0,1,0.0001,20,0
0.8717948717948718,0.4676470588235294,0.4676470588235294,0.9315068493150686,0.4657534246575343,0.8717948717948718,-0.1470588235294117,0.0,1,1,1,0.0001,20,0
0.8461538461538461,0.7196969696969697,0.7196969696969697,0.9166666666666666,0.4583333333333333,0.8461538461538461,-0.18181818181818166,0.0,1,2,1,0.0001,20,0
0.9230769230769231,0.8055555555555556,0.8055555555555556,0.9600000000000001,0.48000000000000004,0.9230769230769231,-0.0833333333333337,0.0,1,3,1,0.0001,20,0
0.7368421052631579,0.5107142857142857,0.5107142857142857,0.8484848484848484,0.4242424242424242,0.7368421052631579,-0.3571428571428572,0.0,1,0,1,3e-05,20,0
0.8717948717948718,0.4676470588235294,0.4676470588235294,0.9315068493150686,0.4657534246575343,0.8717948717948718,-0.1470588235294117,0.0,1,1,1,3e-05,20,0
0.8461538461538461,0.7196969696969697,0.7196969696969697,0.9166666666666666,0.4583333333333333,0.8461538461538461,-0.18181818181818166,0.0,1,2,1,3e-05,20,0
0.9230769230769231,0.8055555555555556,0.8055555555555556,0.9600000000000001,0.48000000000000004,0.9230769230769231,-0.0833333333333337,0.0,1,3,1,3e-05,20,0
0.7368421052631579,0.5107142857142857,0.5107142857142857,0.8484848484848484,0.4242424242424242,0.7368421052631579,-0.3571428571428572,0.0,1,0,1,1e-05,20,0
0.8717948717948718,0.4676470588235294,0.4676470588235294,0.9315068493150686,0.4657534246575343,0.8717948717948718,-0.1470588235294117,0.0,1,1,1,1e-05,20,0
0.8461538461538461,0.7196969696969697,0.7196969696969697,0.9166666666666666,0.4583333333333333,0.8461538461538461,-0.18181818181818166,0.0,1,2,1,1e-05,20,0
0.9230769230769231,0.8055555555555556,0.8055555555555556,0.9600000000000001,0.48000000000000004,0.9230769230769231,-0.0833333333333337,0.0,1,3,1,1e-05,20,0
0.7105263157894737,0.5993265993265993,0.5993265993265993,0.8307692307692308,0.4153846153846154,0.7105263157894737,-0.40740740740740744,0.0,1,0,1,0.003,20,1
0.7692307692307693,0.42857142857142855,0.42857142857142855,0.8695652173913043,0.43478260869565216,0.7692307692307693,-1.5071428571428562,1.0,1,1,1,0.003,20,1
0.8717948717948718,0.6705882352941177,0.6705882352941177,0.9315068493150686,0.4657534246575343,0.8717948717948718,-0.1470588235294117,0.0,1,2,1,0.003,20,1
0.8205128205128205,0.6785714285714286,0.6785714285714286,0.8955223880597014,0.6295793758480326,0.8205128205128205,-0.9499999999999993,1.0,1,3,1,0.003,20,1
0.7105263157894737,0.5993265993265993,0.5993265993265993,0.8307692307692308,0.4153846153846154,0.7105263157894737,-0.40740740740740744,0.0,1,0,1,0.001,20,1
0.7692307692307693,0.42857142857142855,0.42857142857142855,0.8695652173913043,0.43478260869565216,0.7692307692307693,-1.5071428571428562,1.0,1,1,1,0.001,20,1
0.8717948717948718,0.6705882352941177,0.6705882352941177,0.9315068493150686,0.4657534246575343,0.8717948717948718,-0.1470588235294117,0.0,1,2,1,0.001,20,1
0.8205128205128205,0.6785714285714286,0.6785714285714286,0.8955223880597014,0.6295793758480326,0.8205128205128205,-0.9499999999999993,1.0,1,3,1,0.001,20,1
0.7105263157894737,0.5993265993265993,0.5993265993265993,0.8307692307692308,0.4153846153846154,0.7105263157894737,-0.40740740740740744,0.0,1,0,1,0.0003,20,1
