,accuracy,auc_macro,auc_micro,best_params,f1_binary,f1_macro,f1_micro,fold_index,r2,threshold
0,0.948905109489051,0.9918071161048689,0.9918071161048689,"{'bootstrap': False, 'criterion': 'entropy', 'max_features': 2, 'min_samples_leaf': 2}",0.9292929292929293,0.9446464646464645,0.948905109489051,0,0.7755149812734082,0.5188713983002713
1,0.9562043795620438,0.9952013108614233,0.9952013108614233,"{'bootstrap': False, 'criterion': 'entropy', 'max_features': 2, 'min_samples_leaf': 3}",0.9400000000000001,0.9527586206896552,0.9562043795620438,1,0.8075842696629214,0.5946348733233975
2,0.9635036496350365,0.9976591760299625,0.9976591760299625,"{'bootstrap': False, 'criterion': 'entropy', 'max_features': 2, 'min_samples_leaf': 3}",0.9504950495049505,0.9607966577004521,0.9635036496350365,2,0.8396535580524345,0.3584905660377358
3,0.9416058394160584,0.990753745318352,0.990753745318352,"{'bootstrap': False, 'criterion': 'gini', 'max_features': 2, 'min_samples_leaf': 4}",0.9215686274509804,0.9375284997720019,0.9416058394160584,3,0.7434456928838951,0.5946348733233975
4,0.9481481481481482,0.992142166344294,0.992142166344294,"{'bootstrap': False, 'criterion': 'entropy', 'max_features': 2, 'min_samples_leaf': 4}",0.9278350515463918,0.9436863119003636,0.9481481481481482,4,0.7715183752417795,0.25737924539025525
