,F1R,F1S,F2R,F2S,F3R,F3S,F4R,F4S,F5R,F5S,F6R,F6S,F7R,F7S,F8R,F8S,F9R,F9S,F10R,F10S,F11R,F11S,F12R,F12S,F13R,F13S,F14R,F14S,F15R,F15S,F16R,F16S,F17R,F17S,F18R,F18S,F19R,F19S,F20R,F20S,F21R,F21S,F22R,F22S,fold_index
0,0.0,-0.057844208382744906,0.0,-0.39294114581058753,0.0,0.0,0.0,-0.15971393392235017,0.14668407925100216,-0.5738425568936877,0.14095830834337614,0.0,0.0,-0.315689666842538,-0.2470471136110166,0.0,-0.3033886057585571,0.0,0.0,0.0,0.2031903951529729,-0.7532193716665834,0.0,0.0,0.0,-1.3698099047577839,0.15426975085502476,-0.2597948333371084,0.0,-0.6008334807184263,0.0,-0.5371378700228939,-0.567988120421502,-0.5150001999467279,0.6728804822661791,0.0,0.0,0.0,0.0,-2.0373289776137176,0.0,0.0,-0.4194224038466951,0.0,0.0
1,0.0,-0.05698816289110833,0.0,-0.25271403210354015,0.0,-0.06684493552618892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07981993932792418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32603254583308006,0.0,0.0,0.0,-0.7481186298526377,0.0,0.0,0.0,-0.2424492542073863,0.0,-0.28056636826014253,-0.0008506977391614108,-0.37890371008108126,0.0,0.0,0.0,0.0,0.0,-1.0984839956978774,0.0,0.0,-0.2730833593371204,0.0,1.0
2,0.0,-0.07364992917230055,0.0,-0.3304096951753855,0.0,-0.16165565195426956,0.0,0.0,0.0,-0.23808448217400324,0.0,0.0,0.0,-0.2556252521705435,0.0,0.0,0.0,0.0,0.056399972817883025,0.0,0.027024487837890878,-0.5569808109088769,0.0,0.0,0.0,-0.9328512816343681,0.0,-0.1550245174952423,0.0,-0.3587210258119861,0.0,-0.37866287428323553,-0.24779594624995255,-0.4063624739731506,0.024573688175002266,0.0,0.007614283425246179,0.0,0.0,-1.4352824059365648,0.0,0.0,-0.47800823610158866,0.0,2.0
3,0.0,-0.04084258155817747,0.0,-0.3873860404621822,0.0,0.0,0.0,0.0,0.0,-0.14950000752693743,0.0,0.0,0.0,-0.13620538370437585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4155628419912434,0.0,0.0,0.0,-0.9220958146085629,0.0,0.0,0.0,-0.2983453191232309,0.0,0.0,-0.14910025400549717,-0.5169121811695548,0.0,0.0,0.0,0.0,0.0,-1.4873325798088195,0.0,0.0,-0.28092371477713673,0.0,3.0
4,0.0,-0.1475217104226638,0.0,-0.4116120008294574,0.0,0.0,0.0,0.0,0.0,-0.06646815316054448,0.0,0.0,0.0,-0.25038783646191043,-0.2613106309040104,0.0,0.0,0.0,0.0,0.0,0.0,-0.5491306340059434,0.0,0.0,0.0,-0.7400831968277812,0.0,-0.13169413884047176,0.0,-0.7419720522785787,0.0,-0.22367093295525983,0.0,-0.7059080390897545,0.11013062698610739,0.0,0.0,0.0,0.0,-1.1666740084108789,0.0,0.0,-0.5752269690934267,0.0,4.0
