,accuracy,auc_macro,auc_micro,best_params,f1_binary,f1_macro,f1_micro,fold_index,r2,threshold
0,0.875,0.86,0.86,{'alpha': 0.00825},0.9206349206349207,0.8132586367880486,0.875,0,0.33333333333333337,0.29932174988257343
1,0.775,0.8466666666666667,0.8466666666666667,{'alpha': 0.00825},0.8571428571428572,0.6638655462184875,0.775,1,-0.19999999999999996,0.19651673264539649
2,0.8974358974358975,0.9620689655172414,0.9620689655172414,{'alpha': 0.00825},0.9354838709677419,0.8427419354838709,0.8974358974358975,2,0.4620689655172415,0.058647672871384685
3,0.868421052631579,0.8582375478927203,0.8582375478927203,{'alpha': 0.0155},0.9180327868852458,0.7923497267759563,0.868421052631579,3,0.27203065134099624,0.37132410869622745
4,0.9210526315789473,0.8697318007662835,0.8697318007662835,{'alpha': 0.001},0.9508196721311475,0.8754098360655738,0.9210526315789473,4,0.5632183908045977,0.6428361145613972
