,accuracy,auc_macro,auc_micro,best_params,f1_binary,f1_macro,f1_micro,fold_index,r2,threshold
0,1.0,1.0,1.0,"{'alpha': 0.03, 'l1_ratio': 0.001}",1.0,1.0,1.0,0,1.0,0.29708189371151805
1,0.9512195121951219,0.9951690821256038,0.9951690821256038,"{'alpha': 0.001, 'l1_ratio': 0.00825}",0.9444444444444444,0.9504830917874396,0.9512195121951219,1,0.8019323671497585,3.645907814437808e-05
2,1.0,1.0,1.0,"{'alpha': 0.001, 'l1_ratio': 0.001}",1.0,1.0,1.0,2,1.0,3.2033155359533894e-14
3,0.9487179487179487,0.9919786096256684,0.9919786096256684,"{'alpha': 0.001, 'l1_ratio': 0.001}",0.9411764705882353,0.9478609625668449,0.9487179487179487,3,0.7914438502673796,3.2409507862939885e-25
4,0.9487179487179487,0.9973262032085561,0.9973262032085561,"{'alpha': 0.001, 'l1_ratio': 0.001}",0.9411764705882353,0.9478609625668449,0.9487179487179487,4,0.7914438502673797,1.6086529635114698e-20
