,accuracy,auc_macro,auc_micro,best_params,f1_binary,f1_macro,f1_micro,fold_index,r2,threshold
0,0.7356132444120252,0.728446127318038,0.728446127318038,{'alpha': 0.001},0.5373736452837069,0.6761474201644099,0.7356132444120254,0,-0.2922121194788261,0.5433561347639737
1,0.7345581722502996,0.7264692166246055,0.7264692166246055,{'alpha': 0.001},0.535527470398523,0.6748550413509262,0.7345581722502996,1,-0.29736887187088357,0.5424180996296526
2,0.7353787839316418,0.7302144820976457,0.7302144820976457,{'alpha': 0.001},0.5369633841981104,0.6758602248725247,0.7353787839316418,2,-0.29335806445483836,0.5431707838573667
3,0.73632793419433,0.7307967188176392,0.7307967188176392,{'alpha': 0.001},0.5386272208230294,0.6770241198102938,0.73632793419433,3,-0.28871399820543076,0.543522581568618
4,0.7365623962017155,0.7286280571696477,0.7286280571696477,{'alpha': 0.001},0.5390374819086258,0.6773113158504772,0.7365623962017155,4,-0.2875680502262934,0.5422971426468566
