,fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,fold_index
0,-1.0388022039814335,-0.1773626731583602,-0.2518443923161672,-0.028057998621409976,-0.6270073504193827,-0.010603761967691031,0.3387181821352378,0.006518875021384064,-1.078027962849455,-0.04204973699555696,0.0
1,-1.0388022039814335,-0.1773626731583602,-0.2518443923161672,-0.028057998621409976,-0.6270073504193827,-0.010603761967691031,0.3387181821352378,0.006518875021384064,-1.078027962849455,-0.04204973699555696,1.0
2,-1.0384960539960757,-0.17826252041697196,-0.2525751803187681,-0.029662469256468406,-0.6245446123324575,-0.011519589501965645,0.3389338023098904,0.007176403529351544,-1.0783769821997156,-0.04247608731350401,2.0
3,-1.0379837320114311,-0.1783399420736128,-0.2513266742137322,-0.025847537675880106,-0.6308501064524025,-0.01163027553159411,0.3388743089592177,0.006881526175322742,-1.0781516222954353,-0.042067487993702184,3.0
4,-1.0379837320114311,-0.1783399420736128,-0.2513266742137322,-0.025847537675880106,-0.6308501064524025,-0.01163027553159411,0.3388743089592177,0.006881526175322742,-1.0781516222954353,-0.042067487993702184,4.0
