,F1R,F1S,F2R,F2S,fold_index
0,0.335560277401196,0.31572434285282625,0.19126064763782252,0.1574547321081554,0.0
1,1.0,,,,1.0
2,1.0,,,,2.0
3,0.5704179073192084,0.4295820926807917,,,3.0
4,1.0,,,,4.0
