,clump_thickness,cell_size,fold_index
0,0.7528920075677188,0.2471079924322815,0.0
1,1.0,,1.0
2,0.7800443886400484,0.21995561135995143,2.0
3,0.7042059684367535,0.29579403156324635,3.0
4,1.0,,4.0
