,day,hour,inv_exposure_rate,fold_index
0,0.5711406050206207,0.28470954213751,0.14414985284186907,0.0
1,0.6058197493477607,0.39418025065223944,,1.0
2,0.5159062753611351,0.31942867378463197,0.1646650508542331,2.0
3,0.6052466443231175,0.39475335567688247,,3.0
4,0.5705795557709856,0.2859703769004943,0.14345006732852003,4.0
