season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed
0.0644744,0.0611799,0.0713266,0.493263,0,0,0,0.0215155,0.165364,0.175677,0.109905,0.0141727
0.103779,0.0944696,0.116342,0,0.00530624,0.117566,0.122076,0.0362893,0.144966,0.150257,0.0498123,0.007645
0.0200775,0.084632,0.0186618,0,0.00531761,0.135765,0.12884,0.0279067,0.00783,0,0.0373602,0.0265273
0.0386285,0.0973043,0.0384716,0,0.011418,0,0.011418,0.0280212,0.0412517,0,0.0277546,0.0392601
