percentile,signup_duration,words,code_lines,urls,images,readability,reputation,session_length,answer_position_in_session,number_of_ans_wrote_by_user_before_this,time_since_previous_answer
0.0320063,0.0320063,0.00738918,0.0156519,0.00272631,0,0,0.0278061,0,0,0.023943,0.00156053
0,0,0.00728491,0.00983953,0.00300856,0,0,0.00566636,0,0,0.00619413,0.00125049
0,0,0.00817572,0,0.00563149,0,0,0.00402971,0,0,0.0047809,0.00110554
0,0,0,0,0.00391498,0,0,0.00289218,0,0,0.00371257,0
0,0,0,0,0,0,0,0.00218959,0.00103129,0,0.00386692,0
