r2,mae_median,mae,mse,num_features,test_fold_i,train_r2,lambda_,max_features,split_version
0.38584826000125616,-0.5276805972062815,-0.5788437769531263,-0.6240716706074734,1,0,0.377081,0.003,20,0
0.6588443866492282,-0.1394855209223076,-0.33965951137009426,-0.34666604308793275,2,0,0.685303,0.003,20,0
0.767522200588129,-0.06404259720628147,-0.24744479983470669,-0.2362328382533153,3,0,0.806232,0.003,20,0
0.8634378691745738,-0.01980459720628147,-0.16827309263853388,-0.13876791609531933,4,0,0.8624229999999999,0.003,20,0
0.848212153910653,-4.978492150753411e-06,-0.18995536505778662,-0.15423956087315263,5,0,0.890658,0.003,20,0
0.8294940683035802,-4.978492150753411e-06,-0.19625382719885534,-0.1732599856225859,6,0,0.9148370000000001,0.003,20,0
0.8290702938368131,-4.0279371849027967e-07,-0.195735090574245,-0.1736906049992185,7,0,0.92737,0.003,20,0
0.8287605524572323,-4.0279371849027967e-07,-0.19573509490757832,-0.17400534939807288,8,0,0.934112,0.003,20,0
0.8287605524572323,-4.0279371849027967e-07,-0.19573509490757832,-0.17400534939807288,9,0,0.9382729999999999,0.003,20,0
0.3768701500157695,-0.4625305972062814,-0.5758938281482301,-0.6213305862076621,1,1,0.37911100000000003,0.003,20,0
0.7005383080407814,-0.12142159720628143,-0.3190062058983651,-0.2985970076966597,2,1,0.675484,0.003,20,0
0.8110424889319767,-0.09087259720628149,-0.22257464806533123,-0.18841190343105355,3,1,0.798014,0.003,20,0
0.8837761646358552,-0.04519497849215082,-0.15312008911814265,-0.11588824345348632,4,1,0.8572780000000001,0.003,20,0
0.8407022186934239,-0.026579597206281447,-0.21542394518868854,-0.1588378150128737,5,1,0.885216,0.003,20,0
0.8392466858593364,-4.978492150753411e-06,-0.20789567984673787,-0.16028914505118108,6,1,0.90502,0.003,20,0
0.7942653131555293,-4.0279371849027967e-07,-0.22177254846413522,-0.20514063574961108,7,1,0.9144620000000001,0.003,20,0
0.7962080289725241,-4.0279371849027967e-07,-0.21942088746413518,-0.2032035294507572,8,1,0.9237059999999999,0.003,20,0
0.7962484116484594,-4.0279371849027967e-07,-0.21920826017303682,-0.2031632633782651,9,1,0.9286629999999999,0.003,20,0
0.7962484116484594,-4.0279371849027967e-07,-0.21920826017303682,-0.2031632633782651,10,1,0.9314020000000001,0.003,20,0
0.36962985273409377,-0.5102905972062814,-0.5805710376302395,-0.6232705561937748,1,2,0.37998899999999997,0.003,20,0
0.667710579554494,-0.19485939671832658,-0.33722778307894635,-0.3285469859203451,2,2,0.677557,0.003,20,0
0.7801858569755264,-0.057015597206281465,-0.24127581169509585,-0.21733846974883778,3,2,0.797312,0.003,20,0
0.826402907653894,-0.0224425972062815,-0.20146965582086657,-0.17164194207080513,4,2,0.851435,0.003,20,0
0.836251506918371,-0.012264978492150913,-0.18066143263114387,-0.16190426339435776,5,2,0.88165,0.003,20,0
0.8224319922308518,-4.978492150753411e-06,-0.18256205022261887,-0.1755681347610087,6,2,0.9128959999999999,0.003,20,0
0.8193992033715882,-4.978492150753411e-06,-0.18288861272774698,-0.17856676660823376,7,2,0.936541,0.003,20,0
0.8189854825379808,-4.978492150753411e-06,-0.18307467886294276,-0.1789758278799165,8,2,0.944765,0.003,20,0
0.8189854825379808,-4.978492150753411e-06,-0.18307467886294276,-0.1789758278799165,9,2,0.949317,0.003,20,0
0.359521317367266,-0.5237505209223077,-0.5847809251218283,-0.6389204556720011,1,3,0.38756799999999997,0.003,20,0
0.6535687435933457,-0.13857259720628146,-0.3366129935369045,-0.3455884203554145,2,3,0.686451,0.003,20,0
0.7770739714994401,-0.07497959720628145,-0.24446805399046206,-0.22238366954736133,3,3,0.793908,0.003,20,0
0.8687048370752696,-0.04282359720628148,-0.16748701367555807,-0.1309757336162604,4,3,0.851928,0.003,20,0
0.8102991566954943,-0.037771597206281426,-0.2006890026417566,-0.18923931823501267,5,3,0.8875,0.003,20,0
0.8103169533496098,-4.978492150753411e-06,-0.19429246230294434,-0.18922156487855404,6,3,0.907674,0.003,20,0
0.8003870016402457,-4.479077692298716e-06,-0.19621617348550807,-0.19912735790958613,7,3,0.919624,0.003,20,0
0.7910650712712501,-4.479077692298716e-06,-0.20131955655602984,-0.20842660886141923,8,3,0.9265389999999999,0.003,20,0
0.7910650712712501,-4.479077692298716e-06,-0.20131955655602984,-0.20842660886141923,9,3,0.9315190000000001,0.003,20,0
0.3909904494300366,-0.5276805972062815,-0.5768170145377467,-0.618846423264845,1,0,0.381311,0.001,20,0
0.64576395426614,-0.11149151185801306,-0.32574714612704264,-0.3599577538459267,2,0,0.709749,0.001,20,0
0.7347282801426431,-0.08543559720628147,-0.2527416822696757,-0.2695564542024044,3,0,0.7875939999999999,0.001,20,0
0.7700859462895775,-0.010873597206281449,-0.2120779934632472,-0.23362768229801517,4,0,0.8434370000000001,0.001,20,0
0.7697417315331045,-4.978492150753411e-06,-0.2015551390364926,-0.23397745689626068,5,0,0.8745620000000001,0.001,20,0
0.7681383106482499,-4.978492150753411e-06,-0.20272405700034998,-0.23560677663131538,6,0,0.8936440000000001,0.001,20,0
0.7681383106482499,-4.978492150753411e-06,-0.20272405700034998,-0.23560677663131538,7,0,0.9014840000000001,0.001,20,0
0.7681383106482499,-4.978492150753411e-06,-0.20272405700034998,-0.23560677663131538,8,0,0.90494,0.001,20,0
0.38377141688247074,-0.4625305972062814,-0.5729193431104115,-0.6144492464869418,1,1,0.384664,0.001,20,0
0.6744940844454008,-0.08859959720628141,-0.3086853948433611,-0.3245660295855176,2,1,0.6985680000000001,0.001,20,0
0.7723504907225591,-0.060892597206281485,-0.2348167366960688,-0.22699217996508836,3,1,0.776558,0.001,20,0
0.7783977120997729,-0.03986959720628147,-0.204347448063789,-0.22096241970993954,4,1,0.834677,0.001,20,0
0.7740898441792123,-4.978492150753411e-06,-0.19861052057028772,-0.22525784882548397,5,1,0.8638629999999999,0.001,20,0
0.7534149090445799,-4.978492150753411e-06,-0.21000867275007037,-0.24587308587010906,6,1,0.894142,0.001,20,0
0.7531614498350904,-4.978492150753411e-06,-0.21004853941673704,-0.246125813225757,7,1,0.916758,0.001,20,0
0.7531614498350904,-4.978492150753411e-06,-0.21004853941673704,-0.246125813225757,8,1,0.929032,0.001,20,0
