total_history_seen,total_history_correct,num_distinct_words_lesson,lesson_index_user,time_to_next_lesson_user,time_since_previous_lesson_user,user_sequence_num,lesson_index_seq,num_lessons_seq,time_diff_first_this_last_previous,time_diff_first_last_seq,day_of_week,weekend_bool,hour_of_day,num_all_solved,time_interval,num_lessons,num_sequences
0.0473733,0.0437276,0.0628778,0.00208278,0.00875148,0.0183722,0,0.00377311,0.00376567,0.000496593,0.000883167,0,0,0,0.0781949,0.000750267,0.00585876,0.000422374
0.0462842,0.0419657,0.0533615,0.0321847,0.0112081,0.0111253,0.0121197,0.00179799,0.00672667,0.00488996,0.00493487,0,0,0,0,0.0105873,0.0978443,0.0322101
0.0305532,0.0292865,0.0387654,0.000790334,0.00483218,0.00967545,0,0.00213305,0.000646335,0,0,0,0,0,0,0,0,0.000298118
