accuracy,auc_macro,auc_micro,f1_binary,f1_macro,f1_micro,r2,num_features,threshold,test_fold_i,train_r2,lambda_,max_features,split_version
0.9485294117647058,0.9828125,0.9828125,0.9401709401709402,0.9475048249241798,0.9485294117647058,0.7875,1,0.382353,0,0.755441,0.001,4,0
0.9632352941176471,0.9668526785714286,0.9668526785714286,0.9565217391304348,0.9623373026862365,0.9632352941176471,0.8482142857142857,2,0.571429,0,0.8896370000000001,0.001,4,0
0.9632352941176471,0.9690848214285714,0.9690848214285714,0.9565217391304348,0.9623373026862365,0.9632352941176471,0.8482142857142857,3,0.5,0,0.954534,0.001,4,0
0.9632352941176471,0.9696428571428571,0.9696428571428571,0.9565217391304348,0.9623373026862365,0.9632352941176471,0.8482142857142857,4,0.666667,0,0.987664,0.001,4,0
0.8905109489051095,0.9559210526315789,0.9559210526315789,0.8739495798319329,0.8885876931417729,0.8905109489051094,0.5493421052631577,1,0.516129,1,0.7759010000000001,0.001,4,0
0.9562043795620438,0.9767543859649123,0.9767543859649123,0.9473684210526315,0.9549342105263159,0.9562043795620438,0.8197368421052631,2,0.5,1,0.8732629999999999,0.001,4,0
0.948905109489051,0.9623903508771929,0.9623903508771929,0.9380530973451328,0.9472874182377837,0.948905109489051,0.7896929824561403,3,0.5,1,0.9462200000000001,0.001,4,0
0.9416058394160584,0.9542763157894737,0.9542763157894737,0.9285714285714285,0.939594356261023,0.9416058394160584,0.7596491228070175,4,0.5,1,0.9754229999999999,0.001,4,0
0.8676470588235294,0.9559218559218559,0.9559218559218559,0.8235294117647058,0.8588235294117648,0.8676470588235294,0.4021978021978023,1,0.53125,2,0.803578,0.001,4,0
0.9191176470588235,0.9654456654456655,0.9654456654456655,0.8764044943820225,0.9081476023822681,0.9191176470588235,0.6346764346764348,2,0.866667,2,0.927573,0.001,4,0
0.9044117647058824,0.9517704517704518,0.9517704517704518,0.8631578947368421,0.8948557835266131,0.9044117647058824,0.5682539682539683,3,0.666667,2,0.9726040000000001,0.001,4,0
0.9191176470588235,0.9533577533577534,0.9533577533577534,0.88659793814433,0.9118703976435936,0.9191176470588235,0.6346764346764348,4,0.5,2,0.987158,0.001,4,0
0.9051094890510949,0.9698996655518394,0.9698996655518394,0.865979381443299,0.8962665268798415,0.9051094890510949,0.5745341614906831,1,0.514286,3,0.757749,0.001,4,0
0.8905109489051095,0.9593884376493073,0.9593884376493073,0.8275862068965518,0.8736861515766181,0.8905109489051094,0.509077878643096,2,0.615385,3,0.8772610000000001,0.001,4,0
0.9197080291970803,0.975394171046345,0.975394171046345,0.8674698795180723,0.9049391282407115,0.9197080291970803,0.6399904443382705,3,0.666667,3,0.9501860000000001,0.001,4,0
0.9343065693430657,0.9758719541328237,0.9758719541328237,0.891566265060241,0.9222229231060367,0.9343065693430657,0.7054467271858575,4,1.0,3,0.973391,0.001,4,0
0.9485294117647058,0.9810267857142857,0.9810267857142857,0.9401709401709402,0.9475048249241798,0.9485294117647058,0.7875,1,0.382353,0,0.754344,0.003,4,0
0.9632352941176471,0.9654017857142858,0.9654017857142858,0.9565217391304348,0.9623373026862365,0.9632352941176471,0.8482142857142857,2,0.5,0,0.8964209999999999,0.003,4,0
0.9632352941176471,0.9705357142857143,0.9705357142857143,0.9565217391304348,0.9623373026862365,0.9632352941176471,0.8482142857142857,3,0.5,0,0.9753280000000001,0.003,4,0
0.9632352941176471,0.9705357142857143,0.9705357142857143,0.9565217391304348,0.9623373026862365,0.9632352941176471,0.8482142857142857,4,0.5,0,0.994713,0.003,4,0
0.8905109489051095,0.9559210526315789,0.9559210526315789,0.8739495798319329,0.8885876931417729,0.8905109489051094,0.5493421052631577,1,0.516129,1,0.7759010000000001,0.003,4,0
0.9562043795620438,0.9767543859649123,0.9767543859649123,0.9473684210526315,0.9549342105263159,0.9562043795620438,0.8197368421052631,2,0.5,1,0.8732629999999999,0.003,4,0
0.948905109489051,0.9623903508771929,0.9623903508771929,0.9380530973451328,0.9472874182377837,0.948905109489051,0.7896929824561403,3,0.5,1,0.9462200000000001,0.003,4,0
