split_version,lambda_,num_features,best_value,metric
0,0.003,4,-0.17258746281327528,mae
1,0.003,8,-0.1792449140792716,mae
2,0.003,9,-0.14422011458286355,mae
3,0.001,8,-0.17284870410659448,mae
4,0.003,10,-0.12467776458004685,mae
