split_version,lambda_,num_features,best_value,metric
0,1e-05,10,-1.6579698149811704,mae
1,2.9999999999999997e-05,1,-1.6174387987103325,mae
2,2.9999999999999997e-05,10,-1.0865620060775973,mae
3,0.0003,8,-0.9909514631199112,mae
4,1e-05,1,-1.1165895259545136,mae
